lead_time_hr,threshold_mm,window_gridpts,window_km,n_samples,fss_avg
6,1,2,56,12,0.594911224363571
6,1,5,139,12,0.6606727121202712
6,1,10,278,12,0.7153088426295472
6,1,20,556,12,0.7733531810053381
6,5,2,56,12,0.4540554209919132
6,5,5,139,12,0.538859209948437
6,5,10,278,12,0.6133214390773657
6,5,20,556,12,0.7011671492746014
6,10,2,56,12,0.2970382330142967
6,10,5,139,12,0.37957247225075635
6,10,10,278,12,0.4545149987668995
6,10,20,556,12,0.5096797807854528
6,20,2,56,12,0.109952379671175
6,20,5,139,12,0.14785144986196472
6,20,10,278,12,0.1747619759578404
6,20,20,556,12,0.17013702969486036
6,50,2,56,12,0.08339949368218995
6,50,5,139,12,0.11709240500654401
6,50,10,278,12,0.11759788392180222
6,50,20,556,12,0.11467040002359308
6,100,2,56,12,0.016666666666666673
6,100,5,139,12,0.017389024816497733
6,100,10,278,12,0.014319200978393806
6,100,20,556,12,0.013789565794635037
12,1,2,56,12,0.5931336290175794
12,1,5,139,12,0.6560082340865078
12,1,10,278,12,0.7081592252108115
12,1,20,556,12,0.7580381884548116
12,5,2,56,12,0.43110756728801963
12,5,5,139,12,0.511200653580035
12,5,10,278,12,0.5782967432028725
12,5,20,556,12,0.6469986160021405
12,10,2,56,12,0.2497209856245275
12,10,5,139,12,0.313738497923888
12,10,10,278,12,0.36602343858349656
12,10,20,556,12,0.4020140427475327
12,20,2,56,12,0.11810229695697567
12,20,5,139,12,0.14794717515209585
12,20,10,278,12,0.16539768463979945
12,20,20,556,12,0.15741260793802433
12,50,2,56,12,0.0751276182941531
12,50,5,139,12,0.10765926923203843
12,50,10,278,12,0.13069605442216317
12,50,20,556,12,0.14560897666421016
12,100,2,56,12,0.0
12,100,5,139,12,0.0
12,100,10,278,12,0.0
12,100,20,556,12,0.0
18,1,2,56,12,0.5770896177903374
18,1,5,139,12,0.6380999431315524
18,1,10,278,12,0.689950377295908
18,1,20,556,12,0.743410575530148
18,5,2,56,12,0.41039899369304056
18,5,5,139,12,0.4860508755987327
18,5,10,278,12,0.5514492910365781
18,5,20,556,12,0.6201806842800327
18,10,2,56,12,0.24241367310382725
18,10,5,139,12,0.30653955128035865
18,10,10,278,12,0.35590829873720664
18,10,20,556,12,0.4044522243652115
18,20,2,56,12,0.09705980355257438
18,20,5,139,12,0.12074088589489025
18,20,10,278,12,0.12313520101525566
18,20,20,556,12,0.10034750737387686
18,50,2,56,12,0.06096640241600604
18,50,5,139,12,0.07044609665427509
18,50,10,278,12,0.06779527398862746
18,50,20,556,12,0.05990089937692069
18,100,2,56,12,0.0
18,100,5,139,12,0.0
18,100,10,278,12,0.0
18,100,20,556,12,0.0
24,1,2,56,12,0.5692334608779502
24,1,5,139,12,0.626408920695508
24,1,10,278,12,0.6748226058557321
24,1,20,556,12,0.7252534968388066
24,5,2,56,12,0.4175790586139834
24,5,5,139,12,0.4934544379164416
24,5,10,278,12,0.5569251905610371
24,5,20,556,12,0.6186496786416734
24,10,2,56,12,0.2529990202240801
24,10,5,139,12,0.31928613098206077
24,10,10,278,12,0.37664914728752746
24,10,20,556,12,0.4139920996493844
24,20,2,56,12,0.09816803671509232
24,20,5,139,12,0.1198299572534857
24,20,10,278,12,0.12219665148161689
24,20,20,556,12,0.09874020314503333
24,50,2,56,12,0.059633911368015415
24,50,5,139,12,0.06950241582555462
24,50,10,278,12,0.06654566356650164
24,50,20,556,12,0.05855198368036016
24,100,2,56,12,0.02419354838709677
24,100,5,139,12,0.026465028355387527
24,100,10,278,12,0.021803791086912678
24,100,20,556,12,0.020968705653894998
30,1,2,56,12,0.5728260447149158
30,1,5,139,12,0.627812637050643
30,1,10,278,12,0.6741145089193642
30,1,20,556,12,0.7234182008750824
30,5,2,56,12,0.4126223584610187
30,5,5,139,12,0.48685108452621506
30,5,10,278,12,0.5521688260885388
30,5,20,556,12,0.6244316745726333
30,10,2,56,12,0.2366235586677393
30,10,5,139,12,0.29760394416565256
30,10,10,278,12,0.35346863031648623
30,10,20,556,12,0.40373046766521536
30,20,2,56,12,0.0909764320226452
30,20,5,139,12,0.1146208472789574
30,20,10,278,12,0.12162930670253987
30,20,20,556,12,0.10625840795334278
30,50,2,56,12,0.06100846805234796
30,50,5,139,12,0.07180633147113594
30,50,10,278,12,0.0692959893779566
30,50,20,556,12,0.06127546755593662
30,100,2,56,12,0.03034979423868313
30,100,5,139,12,0.03483755522004137
30,100,10,278,12,0.03083646059648429
30,100,20,556,12,0.02963182810828241
36,1,2,56,12,0.5714899820318879
36,1,5,139,12,0.6244540747311164
36,1,10,278,12,0.6688538995364844
36,1,20,556,12,0.7135027088674836
