lead_time_hr,threshold_mm,window_gridpts,window_km,n_samples,fss_avg
6,1,2,56,488,0.5335956199933538
6,1,5,139,488,0.5997650831376171
6,1,10,278,488,0.6554656024817581
6,1,20,556,488,0.7154447177716231
6,5,2,56,488,0.3845415266118127
6,5,5,139,488,0.4662019942370246
6,5,10,278,488,0.5391769207051421
6,5,20,556,488,0.6240624001909295
6,10,2,56,488,0.26219076068003394
6,10,5,139,488,0.33665858606316534
6,10,10,278,488,0.40029295075876115
6,10,20,556,488,0.4569876144239949
6,20,2,56,488,0.14153373839236877
6,20,5,139,488,0.18601567207678646
6,20,10,278,488,0.21759346391690373
6,20,20,556,488,0.23327840679953069
6,50,2,56,488,0.07172869238273606
6,50,5,139,488,0.09513503957720212
6,50,10,278,488,0.11180955265361872
6,50,20,556,488,0.120629485158525
6,100,2,56,488,0.006844361454671427
6,100,5,139,488,0.01101517166501598
6,100,10,278,488,0.015113507748438072
6,100,20,556,488,0.017321262060957895
12,1,2,56,488,0.52876733758625
12,1,5,139,488,0.5905301594831068
12,1,10,278,488,0.642855003813035
12,1,20,556,488,0.6995512534389443
12,5,2,56,488,0.38156592437947556
12,5,5,139,488,0.45943937952259845
12,5,10,278,488,0.5304212999815162
12,5,20,556,488,0.6152462731927565
12,10,2,56,488,0.2523717011709762
12,10,5,139,488,0.32312340888715047
12,10,10,278,488,0.3861979087245037
12,10,20,556,488,0.44206499046148584
12,20,2,56,488,0.12720165472454553
12,20,5,139,488,0.16627646295134038
12,20,10,278,488,0.19366008184055092
12,20,20,556,488,0.20313403577052655
12,50,2,56,488,0.064374049391373
12,50,5,139,488,0.08108444693169911
12,50,10,278,488,0.0913214746758888
12,50,20,556,488,0.09705402054829552
12,100,2,56,488,0.00576908554339557
12,100,5,139,488,0.009621977132642009
12,100,10,278,488,0.012706455623329282
12,100,20,556,488,0.013805273264788231
18,1,2,56,488,0.525549253527164
18,1,5,139,488,0.5855960090818888
18,1,10,278,488,0.6371927717963461
18,1,20,556,488,0.6942931195573839
18,5,2,56,488,0.37077154851782196
18,5,5,139,488,0.4458138453125981
18,5,10,278,488,0.5151461646080577
18,5,20,556,488,0.6007561161810187
18,10,2,56,488,0.2353779794371736
18,10,5,139,488,0.30116844249851715
18,10,10,278,488,0.35814095248680283
18,10,20,556,488,0.40511382106843896
18,20,2,56,488,0.12016172783149152
18,20,5,139,488,0.15577679382728093
18,20,10,278,488,0.17971146645392694
18,20,20,556,488,0.18685218833057968
18,50,2,56,488,0.05912592729609302
18,50,5,139,488,0.07489327563338813
18,50,10,278,488,0.0848464496561434
18,50,20,556,488,0.08984559865514292
18,100,2,56,488,0.004162102266052639
18,100,5,139,488,0.007987298057738328
