lead_time_hr,threshold_mm,window_gridpts,window_km,n_samples,fss_avg
6,1,2,56,488,0.5947638537510367
6,1,5,139,488,0.6679984894614193
6,1,10,278,488,0.724569929516545
6,1,20,556,488,0.7777110650515259
6,5,2,56,488,0.44611809263929153
6,5,5,139,488,0.5449645262922245
6,5,10,278,488,0.628575961546997
6,5,20,556,488,0.7173393153591135
6,10,2,56,488,0.28119292861155804
6,10,5,139,488,0.3675482887622374
6,10,10,278,488,0.4324549076597283
6,10,20,556,488,0.483184120814615
6,20,2,56,488,0.10133971678655863
6,20,5,139,488,0.13700149336942022
6,20,10,278,488,0.1602866370212799
6,20,20,556,488,0.16861666463657707
6,50,2,56,488,0.0201550891357103
6,50,5,139,488,0.028560652834237716
6,50,10,278,488,0.03388285714734956
6,50,20,556,488,0.03623618528524848
6,100,2,56,488,0.003782158867196029
6,100,5,139,488,0.0038022178482791866
6,100,10,278,488,0.003299365793712725
6,100,20,556,488,0.003027154107971436
12,1,2,56,487,0.5887618251957377
12,1,5,139,487,0.657348827111888
12,1,10,278,487,0.7110843214383953
12,1,20,556,487,0.761823887131725
12,5,2,56,487,0.4416617200648167
12,5,5,139,487,0.536602032319684
12,5,10,278,487,0.618379831652531
12,5,20,556,487,0.7072539189882242
12,10,2,56,487,0.2658749018004851
12,10,5,139,487,0.3473600682445571
12,10,10,278,487,0.4122609660701861
12,10,20,556,487,0.4646754490998511
12,20,2,56,487,0.08811442945485749
12,20,5,139,487,0.11947642284516426
12,20,10,278,487,0.14254041313874027
12,20,20,556,487,0.15446732096215168
12,50,2,56,487,0.014489229461255106
12,50,5,139,487,0.020007029585920152
12,50,10,278,487,0.024499672324327114
12,50,20,556,487,0.025924637475666496
12,100,2,56,487,0.002360842495224685
12,100,5,139,487,0.001928469994476808
12,100,10,278,487,0.0013708852781781106
12,100,20,556,487,0.0009777232729832187
18,1,2,56,486,0.5834958087373916
18,1,5,139,486,0.6504784857288751
18,1,10,278,486,0.7036702994717355
18,1,20,556,486,0.7543180490249698
18,5,2,56,486,0.42905933965939774
18,5,5,139,486,0.5217230143674165
18,5,10,278,486,0.6019506796411325
18,5,20,556,486,0.6901441959338632
18,10,2,56,486,0.24150307681449937
18,10,5,139,486,0.31406536577087024
18,10,10,278,486,0.3721982074656455
18,10,20,556,486,0.4211288881931895
18,20,2,56,486,0.07042472309445498
18,20,5,139,486,0.09640616822080228
18,20,10,278,486,0.11595184238637551
18,20,20,556,486,0.12694085041808334
18,50,2,56,486,0.011411142709561962
18,50,5,139,486,0.014554852702664918
18,50,10,278,486,0.015751473458357486
18,50,20,556,486,0.01532714425479964
18,100,2,56,486,0.0013915268544898176
18,100,5,139,486,0.0010982245119628797
18,100,10,278,486,0.0008845563448261944
18,100,20,556,486,0.0007908475365433252
24,1,2,56,485,0.5777507971648904
24,1,5,139,485,0.6427341786701374
24,1,10,278,485,0.6944262103453192
24,1,20,556,485,0.7439661569137654
24,5,2,56,485,0.4167906966733483
24,5,5,139,485,0.5073404590865127
24,5,10,278,485,0.5864999390178842
24,5,20,556,485,0.6757108970678622
24,10,2,56,485,0.21467615154457895
24,10,5,139,485,0.2789391740887184
24,10,10,278,485,0.33243445418342393
24,10,20,556,485,0.3800793468396703
24,20,2,56,485,0.06082157459940999
24,20,5,139,485,0.08223116061056239
24,20,10,278,485,0.09796497878112356
24,20,20,556,485,0.10747643463989882
24,50,2,56,485,0.00996728019833207
24,50,5,139,485,0.012677047553062128
24,50,10,278,485,0.014446454181158185
24,50,20,556,485,0.014191571724153938
24,100,2,56,485,0.0
24,100,5,139,485,0.0
24,100,10,278,485,0.0
24,100,20,556,485,0.0
30,1,2,56,484,0.5716716291375001
30,1,5,139,484,0.6342640813205942
30,1,10,278,484,0.6839183265828945
30,1,20,556,484,0.7313815790019473
30,5,2,56,484,0.4051228894891263
30,5,5,139,484,0.4951551483419426
30,5,10,278,484,0.5755994742303561
30,5,20,556,484,0.6683970242134142
30,10,2,56,484,0.19493200510555023
30,10,5,139,484,0.2533483476895146
30,10,10,278,484,0.3038476631545545
30,10,20,556,484,0.3494917875213231
30,20,2,56,484,0.05515573068770061
30,20,5,139,484,0.07438266112945924
30,20,10,278,484,0.08875336037801246
30,20,20,556,484,0.09773498802917992
30,50,2,56,484,0.008894977188052213
30,50,5,139,484,0.010917683739557702
30,50,10,278,484,0.01193307559057381
30,50,20,556,484,0.011482833861550988
30,100,2,56,484,0.0
30,100,5,139,484,0.0
30,100,10,278,484,0.0
30,100,20,556,484,0.0
36,1,2,56,483,0.5684909512105212
36,1,5,139,483,0.630048136566934
36,1,10,278,483,0.6792168679700296
36,1,20,556,483,0.7260436430327648
36,5,2,56,483,0.39467620572436607
36,5,5,139,483,0.4835420235266581
36,5,10,278,483,0.5653904888897093
36,5,20,556,483,0.6605998063461503
36,10,2,56,483,0.1795509213007293
36,10,5,139,483,0.23327006877556025
36,10,10,278,483,0.2805313828928341
36,10,20,556,483,0.32497416567117654
36,20,2,56,483,0.05093546683810859
36,20,5,139,483,0.06828243847485761
36,20,10,278,483,0.08105557946430597
36,20,20,556,483,0.08972308700586323
36,50,2,56,483,0.009844453569267298
36,50,5,139,483,0.012042246846370952
36,50,10,278,483,0.012142918197725255
36,50,20,556,483,0.011400565852736239
36,100,2,56,483,0.0
36,100,5,139,483,0.0
36,100,10,278,483,0.0
36,100,20,556,483,0.0
42,1,2,56,482,0.5681673403488487
42,1,5,139,482,0.6290042033911776
42,1,10,278,482,0.6779458144900026
42,1,20,556,482,0.7253218612165805
42,5,2,56,482,0.3890626203155863
42,5,5,139,482,0.47707057622672944
42,5,10,278,482,0.5595449600811926
42,5,20,556,482,0.6559379530226187
42,10,2,56,482,0.17283606610463872
42,10,5,139,482,0.22413190670156333
42,10,10,278,482,0.27010187963879567
42,10,20,556,482,0.3142900757331667
42,20,2,56,482,0.04617549702504009
42,20,5,139,482,0.06170957441171748
42,20,10,278,482,0.0740675302138895
