lead_time_hr,threshold_mm,window_gridpts,window_km,n_samples,fss_avg
6,1,2,56,485,0.6236801657210119
6,1,5,139,485,0.6905852813945484
6,1,10,278,485,0.7406888458275989
6,1,20,556,485,0.7866736511756817
6,5,2,56,485,0.4756614721193846
6,5,5,139,485,0.5714654626557326
6,5,10,278,485,0.6519086073253527
6,5,20,556,485,0.7347116177833308
6,10,2,56,485,0.30805627745342323
6,10,5,139,485,0.39548835655447134
6,10,10,278,485,0.46655794212645196
6,10,20,556,485,0.5205764717306521
6,20,2,56,485,0.13681399064321237
6,20,5,139,485,0.18618356664207808
6,20,10,278,485,0.22507721560419008
6,20,20,556,485,0.23859213921276484
6,50,2,56,485,0.044305909010445135
6,50,5,139,485,0.06218217285585813
6,50,10,278,485,0.07538679867117613
6,50,20,556,485,0.07886282864059443
6,100,2,56,485,0.00885748679141599
6,100,5,139,485,0.01315236454751678
6,100,10,278,485,0.01744483287198553
6,100,20,556,485,0.01990398047865305
12,1,2,56,485,0.6130689137568066
12,1,5,139,485,0.6756645819052606
12,1,10,278,485,0.7238817377358048
12,1,20,556,485,0.7690338484856902
12,5,2,56,485,0.4718138565793129
12,5,5,139,485,0.5628129409276715
12,5,10,278,485,0.6410816636528235
12,5,20,556,485,0.7221328592385053
12,10,2,56,485,0.29796322444640694
12,10,5,139,485,0.37972136153476227
12,10,10,278,485,0.4487624360785162
12,10,20,556,485,0.501790093981609
12,20,2,56,485,0.12017900485838318
12,20,5,139,485,0.1634532864880083
12,20,10,278,485,0.19997679403221347
12,20,20,556,485,0.2133606307217918
12,50,2,56,485,0.039547436771374525
12,50,5,139,485,0.05329094979889856
12,50,10,278,485,0.06513575866475058
12,50,20,556,485,0.06717465918814314
12,100,2,56,485,0.007667846665008068
12,100,5,139,485,0.009831424629681536
12,100,10,278,485,0.011899270032541952
12,100,20,556,485,0.012019448838422594
18,1,2,56,485,0.6048704425487728
18,1,5,139,485,0.6651700702498381
18,1,10,278,485,0.7123116999220268
18,1,20,556,485,0.7580151814725521
18,5,2,56,485,0.46194448486695033
18,5,5,139,485,0.5501403739788727
18,5,10,278,485,0.6261333243654899
18,5,20,556,485,0.7054657386943256
18,10,2,56,485,0.2839728282055153
18,10,5,139,485,0.3609807329222635
18,10,10,278,485,0.42430985711744745
18,10,20,556,485,0.472666517472944
18,20,2,56,485,0.11073186410395443
18,20,5,139,485,0.14860469639787227
18,20,10,278,485,0.1780603341238727
18,20,20,556,485,0.18522920140574003
