lead_time_hr,threshold_mm,window_gridpts,window_km,n_samples,fss_avg
6,1,2,56,1461,0.5839317615071549
6,1,5,139,1461,0.6527053284768554
6,1,10,278,1461,0.7068387610140708
6,1,20,556,1461,0.7598882565625613
6,5,2,56,1461,0.43535777424533906
6,5,5,139,1461,0.5274538065751566
6,5,10,278,1461,0.6064606988992743
6,5,20,556,1461,0.6919501518229545
6,10,2,56,1461,0.2837635420528455
6,10,5,139,1461,0.3665056864091137
6,10,10,278,1461,0.4330332353453471
6,10,20,556,1461,0.48684695111964954
6,20,2,56,1461,0.12654143161483544
6,20,5,139,1461,0.16969979915068906
6,20,10,278,1461,0.2009363030977863
6,20,20,556,1461,0.2134442042293029
6,50,2,56,1461,0.04539880304658982
6,50,5,139,1461,0.06195883075419154
6,50,10,278,1461,0.07368959160738736
6,50,20,556,1461,0.07857557773254603
6,100,2,56,1461,0.0064898172559261285
6,100,5,139,1461,0.009315388698175005
6,100,10,278,1461,0.011941291055087318
6,100,20,556,1461,0.013404146216690104
12,1,2,56,1460,0.576783488208538
12,1,5,139,1460,0.6410992594899294
12,1,10,278,1460,0.6925301021939211
12,1,20,556,1460,0.7434045624841881
12,5,2,56,1460,0.43159119808884694
12,5,5,139,1460,0.5195177282853662
12,5,10,278,1460,0.5965213556694396
12,5,20,556,1460,0.6814433401342502
12,10,2,56,1460,0.2720209802772466
12,10,5,139,1460,0.3500092035043757
12,10,10,278,1460,0.4156749667341224
12,10,20,556,1460,0.46944716071089926
12,20,2,56,1460,0.11183078904548609
12,20,5,139,1460,0.14972792862502268
12,20,10,278,1460,0.17870688098793075
12,20,20,556,1460,0.19029787716757113
12,50,2,56,1460,0.03948719019502596
12,50,5,139,1460,0.05147859189279321
12,50,10,278,1460,0.06033360480560621
12,50,20,556,1460,0.06340230834552549
12,100,2,56,1460,0.005262979228000255
12,100,5,139,1460,0.007125294981804828
12,100,10,278,1460,0.008657203726328956
12,100,20,556,1460,0.008933258406708522
18,1,2,56,1459,0.5712194403041694
18,1,5,139,1459,0.6336606446657755
18,1,10,278,1459,0.6843077536957254
18,1,20,556,1459,0.7354701694203746
18,5,2,56,1459,0.42049515415465066
18,5,5,139,1459,0.5057797278100519
18,5,10,278,1459,0.580955463297865
18,5,20,556,1459,0.6653392372768626
18,10,2,56,1459,0.2535721528285554
18,10,5,139,1459,0.3253472400076882
18,10,10,278,1459,0.38481932443031225
18,10,20,556,1459,0.4329043490868171
18,20,2,56,1459,0.10045941925708765
18,20,5,139,1459,0.13361600472651888
18,20,10,278,1459,0.15792395687414193
18,20,20,556,1459,0.16635591767669317
18,50,2,56,1459,0.03599317813760942
18,50,5,139,1459,0.046526773653013304
18,50,10,278,1459,0.05324441788507631
18,50,20,556,1459,0.05480141400362194
18,100,2,56,1459,0.0038353923479975158
18,100,5,139,1459,0.005611561916223595
18,100,10,278,1459,0.006927294394377613
18,100,20,556,1459,0.00740493156307123
24,1,2,56,1458,0.566481876320768
24,1,5,139,1458,0.6271659494600625
