lead_time_hr,threshold_mm,window_gridpts,n_samples,fss_avg
6,5,5,12,0.45222160112162507
6,5,13,12,0.5595689598158163
6,5,25,12,0.6671695143469146
6,5,50,12,0.7872100483896475
6,10,5,12,0.2810123312765651
6,10,13,12,0.36527771946891335
6,10,25,12,0.4576067603755852
6,10,50,12,0.5517432347609643
6,20,5,12,0.16555699670438673
6,20,13,12,0.2225140909363863
6,20,25,12,0.2795397102022198
6,20,50,12,0.32631897241741187
6,50,5,12,0.08870582639543796
6,50,13,12,0.11051576213748467
6,50,25,12,0.121936696772598
6,50,50,12,0.13855520454705017
12,5,5,12,0.47035159833404344
12,5,13,12,0.5847825864220891
12,5,25,12,0.6933364618472777
12,5,50,12,0.7866791092090253
12,10,5,12,0.282759429162646
12,10,13,12,0.3774878436948563
12,10,25,12,0.4786165345922435
12,10,50,12,0.5582308172975636
12,20,5,12,0.12956144687649754
12,20,13,12,0.1827821310913492
12,20,25,12,0.2507365941740302
12,20,50,12,0.31414965904662284
12,50,5,12,0.0517788089009024
12,50,13,12,0.07198594022838478
12,50,25,12,0.1128370620340356
12,50,50,12,0.16607061890924585
18,5,5,12,0.4606865530281344
18,5,13,12,0.5688904299880652
18,5,25,12,0.6713312043095511
18,5,50,12,0.7589564361664126
18,10,5,12,0.26919182640158107
18,10,13,12,0.3524775000147684
18,10,25,12,0.43988702875640556
18,10,50,12,0.5232529024951179
18,20,5,12,0.13588102812037164
18,20,13,12,0.17991202034576062
18,20,25,12,0.22864764840093924
18,20,50,12,0.30841751438409387
18,50,5,12,0.06192622765859724
18,50,13,12,0.09086522784572482
18,50,25,12,0.13614408549085005
18,50,50,12,0.19863582446899086
24,5,5,12,0.4275416263216217
24,5,13,12,0.5217653888706572
24,5,25,12,0.6100319169520657
24,5,50,12,0.7012369277275559
24,10,5,12,0.24369576621305733
24,10,13,12,0.3156747022852011
24,10,25,12,0.386750162679019
24,10,50,12,0.4636579485466887
24,20,5,12,0.11241676489675441
24,20,13,12,0.14941915476540005
24,20,25,12,0.1866633174913557
24,20,50,12,0.24862277985295342
24,50,5,12,0.04079571238927702
24,50,13,12,0.05689119679950772
24,50,25,12,0.08127455146190267
24,50,50,12,0.1380560477125318
30,5,5,12,0.42355636479568776
30,5,13,12,0.5180962164848946
30,5,25,12,0.606976503296699
30,5,50,12,0.7016812303121891
30,10,5,12,0.22136264795083685
30,10,13,12,0.28411883408551847
30,10,25,12,0.3491370884191278
30,10,50,12,0.44686089477474883
30,20,5,12,0.12456831459236761
30,20,13,12,0.16481259098766687
30,20,25,12,0.19829697827546902
30,20,50,12,0.24000746903761594
30,50,5,12,0.06863619085215776
30,50,13,12,0.08549295444809257
30,50,25,12,0.10433054100750065
30,50,50,12,0.1271525934662924
36,5,5,12,0.393310442367865
36,5,13,12,0.4805769442748608
36,5,25,12,0.561007526414072
36,5,50,12,0.6475189974801424
36,10,5,12,0.19822092538909208
36,10,13,12,0.25468500339769407
36,10,25,12,0.3151742544860844
36,10,50,12,0.3994464141212976
36,20,5,12,0.1027128386754202
36,20,13,12,0.13485201184417556
36,20,25,12,0.16487205953209927
36,20,50,12,0.22057169271840746
36,50,5,12,0.05468336511861516
36,50,13,12,0.07169238213286987
36,50,25,12,0.09576169109832029
36,50,50,12,0.15929343028928492
42,5,5,12,0.4063701146474686
42,5,13,12,0.4970074780894218
42,5,25,12,0.5807698309200052
42,5,50,12,0.6683483829542297
42,10,5,12,0.19007899015484822
42,10,13,12,0.24757981306177182
42,10,25,12,0.30926438115354987
42,10,50,12,0.3913223463749798
42,20,5,12,0.09870425074970679
42,20,13,12,0.13238171997942808
42,20,25,12,0.15955606922457502
42,20,50,12,0.1890455391683822
42,50,5,12,0.06717915816595052
42,50,13,12,0.08359872221880686
42,50,25,12,0.106131397987831
42,50,50,12,0.1446359319754281
48,5,5,12,0.368926028203604
48,5,13,12,0.4490642368396817
48,5,25,12,0.5264432053205044
48,5,50,12,0.6272162784382112
48,10,5,12,0.19434350718066293
48,10,13,12,0.24939131022022334
48,10,25,12,0.3035098173480925
48,10,50,12,0.35910482772426616
48,20,5,12,0.08777860250493631
48,20,13,12,0.1162344347356387
48,20,25,12,0.14396489001472754
48,20,50,12,0.1841797333712718
48,50,5,12,0.048063615869490095
48,50,13,12,0.06774718264404707
48,50,25,12,0.10342524396921926
48,50,50,12,0.14455975962488832
