lead_time_hr,threshold_mm,window_gridpts,n_samples,fss_avg
6,5,5,488,0.4324987965315035
6,5,13,488,0.5395243030358364
6,5,25,488,0.6464018169384705
6,5,50,488,0.7689656149294468
6,10,5,488,0.307562631868105
6,10,13,488,0.4024947112494192
6,10,25,488,0.4969614387557917
6,10,50,488,0.6007666275246901
6,20,5,488,0.20586594037828934
6,20,13,488,0.28126788616195125
6,20,25,488,0.356833609556421
6,20,50,488,0.4359498149950073
6,50,5,488,0.10309263724612722
6,50,13,488,0.14481960542321204
6,50,25,488,0.19265867530206043
6,50,50,488,0.25010783597403274
12,5,5,488,0.4494769338259905
12,5,13,488,0.5674968907243021
12,5,25,488,0.6798735888025519
12,5,50,488,0.789567811403538
12,10,5,488,0.3248156957202503
12,10,13,488,0.43140550236945796
12,10,25,488,0.5361449547660984
12,10,50,488,0.6360142454449174
12,20,5,488,0.20689197254520225
12,20,13,488,0.2886429470023029
12,20,25,488,0.3754238834659032
12,20,50,488,0.4644772342779392
12,50,5,488,0.0944770009205135
12,50,13,488,0.13924573081120928
12,50,25,488,0.1940198163945401
12,50,50,488,0.25929649358156753
18,5,5,488,0.43752478367354286
18,5,13,488,0.5475103395592152
18,5,25,488,0.6528056363056485
18,5,50,488,0.7632834783372042
18,10,5,488,0.3048395372218979
18,10,13,488,0.40352457606717673
18,10,25,488,0.502574566752778
18,10,50,488,0.6056680037827388
18,20,5,488,0.1922509457429417
18,20,13,488,0.2656270075157448
18,20,25,488,0.34254685418955283
18,20,50,488,0.42582910517997724
18,50,5,488,0.0891619130398279
18,50,13,488,0.12676545345243265
18,50,25,488,0.1674125950872104
18,50,50,488,0.21438150639384462
24,5,5,488,0.42379779774245613
24,5,13,488,0.5300094947638195
24,5,25,488,0.6311410499937957
24,5,50,488,0.7393233999765608
24,10,5,488,0.28558331681377874
24,10,13,488,0.37541040718985874
24,10,25,488,0.46427073819812564
24,10,50,488,0.5548681165210841
24,20,5,488,0.1755553311064665
24,20,13,488,0.2404818004462724
24,20,25,488,0.30796120443507147
24,20,50,488,0.3795490093205895
24,50,5,488,0.08009494615373666
24,50,13,488,0.11415863607816726
24,50,25,488,0.15528078485724728
24,50,50,488,0.1998732761327427
30,5,5,488,0.40345868866057216
30,5,13,488,0.5068781740973951
30,5,25,488,0.6077932750357057
30,5,50,488,0.7162977546221806
30,10,5,488,0.25775706146092864
30,10,13,488,0.34300453623428134
30,10,25,488,0.428497475209466
30,10,50,488,0.5157857136667288
30,20,5,488,0.1543280073233696
30,20,13,488,0.21232470681268953
30,20,25,488,0.2734737284927336
30,20,50,488,0.3368767335458661
30,50,5,488,0.07783674313759346
30,50,13,488,0.11080995674212206
30,50,25,488,0.1476470591550199
30,50,50,488,0.19144810247601524
36,5,5,488,0.3907824047418488
36,5,13,488,0.49158476467087686
36,5,25,488,0.5901892275586565
36,5,50,488,0.6986782677107093
36,10,5,488,0.24139906264700156
36,10,13,488,0.319493514324247
36,10,25,488,0.3979745393882011
36,10,50,488,0.48123285718052417
36,20,5,488,0.14444216201000198
36,20,13,488,0.19819757113911707
36,20,25,488,0.25528830981111633
36,20,50,488,0.31619688980298466
36,50,5,488,0.07198464485941683
36,50,13,488,0.10098234153433769
36,50,25,488,0.13602535580088554
36,50,50,488,0.17513480240759366
42,5,5,488,0.3740651019132399
42,5,13,488,0.4726437898609812
42,5,25,488,0.5706072098643957
42,5,50,488,0.6808172949614071
42,10,5,488,0.22189666581801515
42,10,13,488,0.2952815481077961
42,10,25,488,0.3693254705223726
42,10,50,488,0.4484266266408015
42,20,5,488,0.1289472428736757
42,20,13,488,0.17811870368907767
42,20,25,488,0.2307916634588753
42,20,50,488,0.2859768521146104
42,50,5,488,0.06424966941734225
42,50,13,488,0.09186415001982463
42,50,25,488,0.12471893947552588
42,50,50,488,0.16330945576397768
48,5,5,488,0.3637438398509935
48,5,13,488,0.45888922804928356
48,5,25,488,0.5537529338935496
48,5,50,488,0.6617162355877869
48,10,5,488,0.21682088949472125
48,10,13,488,0.28619822655747384
48,10,25,488,0.35550189906400476
48,10,50,488,0.4291260241627739
48,20,5,488,0.12543535831726202
48,20,13,488,0.17173249721488187
48,20,25,488,0.2222874125453187
48,20,50,488,0.2756464143662157
48,50,5,488,0.0619904770509513
48,50,13,488,0.08685288493414835
48,50,25,488,0.11863755137531039
48,50,50,488,0.15505919139108165
