lead_time_hr,threshold_mm,window_gridpts,n_samples,fss_avg
6,5,5,488,0.40761448229184866
6,5,13,488,0.5152673149080446
6,5,25,488,0.6301168337554109
6,5,50,488,0.7664931245095138
6,10,5,488,0.2899966563133877
6,10,13,488,0.39073964037827114
6,10,25,488,0.5033717168095673
6,10,50,488,0.638423205816262
6,20,5,488,0.1890963678375823
6,20,13,488,0.27066151578614744
6,20,25,488,0.3674466202868033
6,20,50,488,0.48448408092002765
6,50,5,488,0.08593780219151509
6,50,13,488,0.12509916396006368
6,50,25,488,0.1759234353379099
6,50,50,488,0.24580063067102784
12,5,5,488,0.42742853695137834
12,5,13,488,0.5393271338598633
12,5,25,488,0.6496266573856991
12,5,50,488,0.7666260223018728
12,10,5,488,0.3020608473407113
12,10,13,488,0.40711060089245016
12,10,25,488,0.5176524326327594
12,10,50,488,0.6397000732459432
12,20,5,488,0.19003573095885287
12,20,13,488,0.27205931915177245
12,20,25,488,0.3679350601165673
12,20,50,488,0.480202581432367
12,50,5,488,0.08007928127671332
12,50,13,488,0.12105018156065805
12,50,25,488,0.17258203124153843
12,50,50,488,0.24358335661809685
18,5,5,487,0.40885606727225565
18,5,13,487,0.5134260753617713
18,5,25,487,0.6178799464911336
18,5,50,487,0.7369658606400578
18,10,5,487,0.2768259986450037
18,10,13,487,0.3721798459034246
18,10,25,487,0.47716338865893754
18,10,50,487,0.6057359206734708
18,20,5,487,0.15906573785954956
18,20,13,487,0.22565726914310902
18,20,25,487,0.3086872858510138
18,20,50,487,0.42259587003250954
18,50,5,487,0.057538676253576546
18,50,13,487,0.08312743445885751
18,50,25,487,0.11958179447318532
18,50,50,487,0.17947989099870804
24,5,5,486,0.39533827538492095
24,5,13,486,0.4970279616805278
24,5,25,486,0.5999600728193284
24,5,50,486,0.7228446203189809
24,10,5,486,0.25354415063425
24,10,13,486,0.34111671343485783
24,10,25,486,0.43865436437929234
24,10,50,486,0.5603709418661579
24,20,5,486,0.14186365591875819
24,20,13,486,0.19719061093836868
24,20,25,486,0.2652265610175275
24,20,50,486,0.3593753338074401
24,50,5,486,0.05724571720598069
24,50,13,486,0.08079678139240283
24,50,25,486,0.11058834546120111
24,50,50,486,0.1596433403491535
30,5,5,485,0.3770179581430829
30,5,13,485,0.47703714850661777
30,5,25,485,0.5799214679603232
30,5,50,485,0.7035852777506109
30,10,5,485,0.22279269932440152
30,10,13,485,0.30178618413795655
30,10,25,485,0.39225692783566435
30,10,50,485,0.5071126225392041
30,20,5,485,0.1103208916591176
30,20,13,485,0.15693174397704432
30,20,25,485,0.21699785699919
30,20,50,485,0.30215548436902306
30,50,5,485,0.03853404943220326
30,50,13,485,0.055299226199884435
30,50,25,485,0.08173105647295277
30,50,50,485,0.12545383725950207
36,5,5,484,0.3607109178737002
36,5,13,484,0.45777425185506215
36,5,25,484,0.5597332367121256
36,5,50,484,0.684565467101372
36,10,5,484,0.20329594796254907
36,10,13,484,0.27630165250311356
36,10,25,484,0.3623468970298103
36,10,50,484,0.4729616486117276
36,20,5,484,0.10152179362596887
36,20,13,484,0.14435981241904225
36,20,25,484,0.19849289430128728
36,20,50,484,0.27624118133529346
36,50,5,484,0.03658741189362803
36,50,13,484,0.05264327472212071
36,50,25,484,0.07455326432203437
36,50,50,484,0.11068452316030733
42,5,5,483,0.3444888504997527
42,5,13,483,0.4388033382162241
42,5,25,483,0.5394766393246256
42,5,50,483,0.6657713310064161
42,10,5,483,0.18082895569558302
42,10,13,483,0.24872685951658738
42,10,25,483,0.3301425633792709
42,10,50,483,0.43553955487603924
42,20,5,483,0.0772799135085136
42,20,13,483,0.1120285135034511
42,20,25,483,0.1607185731588687
42,20,50,483,0.23040161386379313
42,50,5,483,0.022964423461201054
42,50,13,483,0.03542582395322995
42,50,25,483,0.054654724114766615
42,50,50,483,0.08780949507944888
48,5,5,482,0.3358836573397695
48,5,13,482,0.42872466580961166
48,5,25,482,0.5281211741569122
48,5,50,482,0.6527343450408263
48,10,5,482,0.1726798388194892
48,10,13,482,0.23749035488355189
48,10,25,482,0.315530161981808
48,10,50,482,0.4157355326092328
48,20,5,482,0.07531657791471016
48,20,13,482,0.10681594898016775
48,20,25,482,0.1505248951245481
48,20,50,482,0.21553789740593596
48,50,5,482,0.02525885621514361
48,50,13,482,0.037200895925659686
48,50,25,482,0.055766334311919345
48,50,50,482,0.08890836175534357
