lead_time_hr,threshold_mm,window_gridpts,n_samples,fss_avg
6,5,5,485,0.48104138818031134
6,5,13,485,0.5875554626734264
6,5,25,485,0.6888784374897714
6,5,50,485,0.7969540161812158
6,10,5,485,0.3596155297222013
6,10,13,485,0.46274084221784956
6,10,25,485,0.5618147459888536
6,10,50,485,0.6586471025511537
6,20,5,485,0.24046553880627844
6,20,13,485,0.32980473365340834
6,20,25,485,0.41350705363571766
6,20,50,485,0.48851665392508753
6,50,5,485,0.10524635061151777
6,50,13,485,0.15963552094290273
6,50,25,485,0.21788053948793595
6,50,50,485,0.2721964884212078
12,5,5,485,0.48946262568826154
12,5,13,485,0.6007726371861559
12,5,25,485,0.7047738699289298
12,5,50,485,0.8060002053429123
12,10,5,485,0.3702304488076079
12,10,13,485,0.4876426792774135
12,10,25,485,0.6083076973350062
12,10,50,485,0.7348848831069351
12,20,5,485,0.24156357535677586
12,20,13,485,0.3426873918596738
12,20,25,485,0.4579309714022667
12,20,50,485,0.5958235785222507
12,50,5,485,0.09725863992465884
12,50,13,485,0.1469650887153499
12,50,25,485,0.21410353845106822
12,50,50,485,0.31328655227069124
18,5,5,485,0.4708768241008493
18,5,13,485,0.5748123385386343
18,5,25,485,0.6729346078921545
18,5,50,485,0.7746075905712589
18,10,5,485,0.3440762495160229
18,10,13,485,0.4506711469241784
18,10,25,485,0.5597937930957324
18,10,50,485,0.682172559101173
18,20,5,485,0.21221541310590888
18,20,13,485,0.3005432232399629
18,20,25,485,0.400189895172074
18,20,50,485,0.525420347150866
18,50,5,485,0.07825478655976298
18,50,13,485,0.11989455691328908
18,50,25,485,0.17473016400630165
18,50,50,485,0.25708153749432333
24,5,5,485,0.46348403102094976
24,5,13,485,0.5651724297172893
24,5,25,485,0.6610823776664507
24,5,50,485,0.7636385817506744
24,10,5,485,0.32549535217551373
24,10,13,485,0.42591906920056916
24,10,25,485,0.5283228048365337
24,10,50,485,0.6454702045219372
24,20,5,485,0.18792464275916557
24,20,13,485,0.26311326251983647
24,20,25,485,0.34799766383651626
24,20,50,485,0.4639421808449599
24,50,5,485,0.07049420902615727
24,50,13,485,0.10482348268143811
24,50,25,485,0.14945309841580304
24,50,50,485,0.22300258760475566
30,5,5,485,0.4512881555115376
30,5,13,485,0.5511573114247099
30,5,25,485,0.646317621679171
30,5,50,485,0.7504005511089896
30,10,5,485,0.3044957928981821
30,10,13,485,0.4007785098649663
30,10,25,485,0.499024613816061
30,10,50,485,0.6139313387613684
30,20,5,485,0.17097327768093745
30,20,13,485,0.24268008686198875
30,20,25,485,0.320149320609671
30,20,50,485,0.4251461232422353
30,50,5,485,0.06769270833097951
30,50,13,485,0.10256552241191004
30,50,25,485,0.1450879752616647
30,50,50,485,0.2126535901187606
36,5,5,485,0.44610613153307094
36,5,13,485,0.5457420790221826
36,5,25,485,0.6405128051852439
36,5,50,485,0.7455748328854829
36,10,5,485,0.2923876579604943
36,10,13,485,0.38448374348309655
36,10,25,485,0.47915580528979757
36,10,50,485,0.5940564848809655
36,20,5,485,0.16089605170092716
36,20,13,485,0.22623170015564706
36,20,25,485,0.2992763917497035
36,20,50,485,0.40383889856689154
36,50,5,485,0.06582724641887111
36,50,13,485,0.09960392126242251
36,50,25,485,0.14153447159273544
36,50,50,485,0.20874592640561676
42,5,5,485,0.4359135050954259
42,5,13,485,0.5340968420632215
42,5,25,485,0.6284415877012735
42,5,50,485,0.7347307936348403
42,10,5,485,0.27682016532988013
42,10,13,485,0.3652138178189902
42,10,25,485,0.4562082623995863
42,10,50,485,0.5676585943428273
42,20,5,485,0.14421415364992324
42,20,13,485,0.2058059607740741
42,20,25,485,0.2744618171046563
42,20,50,485,0.37273922585343844
42,50,5,485,0.05962080980198174
42,50,13,485,0.09092036124209281
42,50,25,485,0.12985033572593832
42,50,50,485,0.19088644667829835
48,5,5,485,0.42843432406565546
48,5,13,485,0.5255676537409348
48,5,25,485,0.6190098791785557
48,5,50,485,0.7260873163753845
48,10,5,485,0.2701447411564891
48,10,13,485,0.35561748309411034
48,10,25,485,0.4439080287204361
48,10,50,485,0.5529351367463271
48,20,5,485,0.1439016512371431
48,20,13,485,0.20189532322019782
48,20,25,485,0.26622857539342304
48,20,50,485,0.3596134268629316
48,50,5,485,0.06280988278572681
48,50,13,485,0.09356495668420574
48,50,25,485,0.12894720278751942
48,50,50,485,0.18476740084902538
