lead_time_hr,threshold_mm,window_gridpts,n_samples,fss_avg
6,5,5,1461,0.4403014054300115
6,5,13,1461,0.5473666727948157
6,5,25,1461,0.6550630689398722
6,5,50,1461,0.7774309121793992
6,10,5,1461,0.3189749928458837
6,10,13,1461,0.4185678795824571
6,10,25,1461,0.5206315754418133
6,10,50,1461,0.6325588524351089
6,20,5,1461,0.21175043992497633
6,20,13,1461,0.2938376755459105
6,20,25,1461,0.3791921103195185
6,20,50,1461,0.46961144309391145
6,50,5,1461,0.09807757323213932
6,50,13,1461,0.14315098365253004
6,50,25,1461,0.19544156854480113
6,50,50,1461,0.2560017991834876
12,5,5,1461,0.45538620342105607
12,5,13,1461,0.5691340540947012
12,5,25,1461,0.6780365825156723
12,5,50,1461,0.7873598154959296
12,10,5,1461,0.33229125303589263
12,10,13,1461,0.44195931405979244
12,10,25,1461,0.5539235853922797
12,10,50,1461,0.6700669102176616
12,20,5,1461,0.21277142598084545
12,20,13,1461,0.3010445523169956
12,20,25,1461,0.4003118997935284
12,20,50,1461,0.5133320914783853
12,50,5,1461,0.09059131148234514
12,50,13,1461,0.13573064562930592
12,50,25,1461,0.19352629554768952
12,50,50,1461,0.27197080407167795
18,5,5,1460,0.439041273207664
18,5,13,1460,0.5452106360255597
18,5,25,1460,0.6478424447164612
18,5,50,1460,0.7582667075255647
18,10,5,1460,0.3085294085751192
18,10,13,1460,0.40873087968080585
18,10,25,1460,0.5131061291121154
18,10,50,1460,0.6311048427246753
18,20,5,1460,0.18781366521679588
18,20,13,1460,0.2638935157614791
18,20,25,1460,0.35040114535095984
18,20,50,1460,0.4578340139738568
18,50,5,1460,0.07499035642494031
18,50,13,1460,0.10992702874602463
18,50,25,1460,0.15388891085894263
18,50,50,1460,0.21692426556254368
24,5,5,1459,0.42751026880092585
24,5,13,1459,0.5307120296328758
24,5,25,1459,0.6307075948974602
24,5,50,1459,0.7419170780073087
24,10,5,1459,0.2881784521031485
24,10,13,1459,0.38077707333808636
24,10,25,1459,0.47702995316980146
24,10,50,1459,0.586819032078397
24,20,5,1459,0.16844427011286323
24,20,13,1459,0.2335844330746736
24,20,25,1459,0.3070349851813185
24,20,50,1459,0.4008829927955237
24,50,5,1459,0.0692922848956932
24,50,13,1459,0.09994245323053522
24,50,25,1459,0.13845627939420485
24,50,50,1459,0.19416112210471112
30,5,5,1458,0.41057359752321687
30,5,13,1458,0.5116809753266275
30,5,25,1458,0.6113368152898347
30,5,50,1458,0.723413190159486
30,10,5,1458,0.26167377552872856
30,10,13,1458,0.3485117217241062
30,10,25,1458,0.4399028227731867
30,10,50,1458,0.5455485250343906
30,20,5,1458,0.14522615891888277
30,20,13,1458,0.20399601843725895
30,20,25,1458,0.2702136904284991
30,20,50,1458,0.35468938659934357
30,50,5,1458,0.06138841438017095
30,50,13,1458,0.08960196294024408
30,50,25,1458,0.12486899537650151
30,50,50,1458,0.17654922927760824
36,5,5,1457,0.3992089029227402
36,5,13,1457,0.49838092751063595
36,5,25,1457,0.5968235690680415
36,5,50,1457,0.7096008748588534
36,10,5,1457,0.24571447872096794
36,10,13,1457,0.3267793070631718
36,10,25,1457,0.41316268973879344
36,10,50,1457,0.5160415013036652
36,20,5,1457,0.13566157052216857
36,20,13,1457,0.18964511908180812
36,20,25,1457,0.2510640398272162
36,20,50,1457,0.3320979271071249
36,50,5,1457,0.05817640944479332
36,50,13,1457,0.08446577175465898
36,50,25,1457,0.11743882792393513
36,50,50,1457,0.16491342971257283
42,5,5,1456,0.38485572424198017
42,5,13,1456,0.48188815261762186
42,5,25,1456,0.5795451272271543
42,5,50,1456,0.6937849091553319
42,10,5,1456,0.22656850185793262
42,10,13,1456,0.3031326718855264
42,10,25,1456,0.38526833447177544
42,10,50,1456,0.48386828094925083
42,20,5,1456,0.11689307504613913
42,20,13,1456,0.16541730109743316
42,20,25,1456,0.22209298344740594
42,20,50,1456,0.29644176364495856
42,50,5,1456,0.049012189533917776
42,50,13,1456,0.07282744050927163
42,50,25,1456,0.10318577406495125
42,50,50,1456,0.1474498126203088
48,5,5,1455,0.3760780507607537
48,5,13,1455,0.47112271084030005
48,5,25,1455,0.5670141780654869
48,5,50,1455,0.6801978183632851
48,10,5,1455,0.2199728356325189
48,10,13,1455,0.29320245011310153
48,10,25,1455,0.3717291125414963
48,10,50,1455,0.465959840433713
48,20,5,1455,0.1149878668479234
48,20,13,1455,0.16028177169147706
48,20,25,1455,0.21316159164120815
48,20,50,1455,0.2837231812982104
48,50,5,1455,0.05009547398463296
48,50,13,1455,0.07264195441640697
48,50,25,1455,0.10124666086697148
48,50,50,1455,0.14304804479498331
