lead_time_hr,threshold_mm,window_gridpts,window_km,n_samples,fss_avg
6,5,2,56,12,0.5336
6,5,5,139,12,0.6798
6,5,10,278,12,0.7978
6,5,20,556,12,0.8754
6,10,2,56,12,0.4238
6,10,5,139,12,0.58
6,10,10,278,12,0.7257
6,10,20,556,12,0.8328
6,20,2,56,12,0.2832
6,20,5,139,12,0.4237
6,20,10,278,12,0.5729
6,20,20,556,12,0.7023
6,50,2,56,12,0.1416
6,50,5,139,12,0.214
6,50,10,278,12,0.2814
6,50,20,556,12,0.3545
12,5,2,56,12,0.4877
12,5,5,139,12,0.6033
12,5,10,278,12,0.7054
12,5,20,556,12,0.8037
12,10,2,56,12,0.346
12,10,5,139,12,0.4516
12,10,10,278,12,0.5635
12,10,20,556,12,0.6549
12,20,2,56,12,0.1762
12,20,5,139,12,0.2565
12,20,10,278,12,0.3489
12,20,20,556,12,0.433
12,50,2,56,12,0.0707
12,50,5,139,12,0.1079
12,50,10,278,12,0.1569
12,50,20,556,12,0.2579
18,5,2,56,12,0.4607
18,5,5,139,12,0.5651
18,5,10,278,12,0.6627
18,5,20,556,12,0.7446
18,10,2,56,12,0.2851
18,10,5,139,12,0.3637
18,10,10,278,12,0.4473
18,10,20,556,12,0.5157
18,20,2,56,12,0.1455
18,20,5,139,12,0.1993
18,20,10,278,12,0.2548
18,20,20,556,12,0.3004
18,50,2,56,12,0.063
18,50,5,139,12,0.0792
18,50,10,278,12,0.0899
18,50,20,556,12,0.0906
24,5,2,56,12,0.4492
24,5,5,139,12,0.5461
24,5,10,278,12,0.6394
24,5,20,556,12,0.7301
24,10,2,56,12,0.2838
24,10,5,139,12,0.3608
24,10,10,278,12,0.4437
24,10,20,556,12,0.5241
24,20,2,56,12,0.1507
24,20,5,139,12,0.2031
24,20,10,278,12,0.2544
24,20,20,556,12,0.3243
24,50,2,56,12,0.0685
24,50,5,139,12,0.0858
24,50,10,278,12,0.0983
24,50,20,556,12,0.1126
30,5,2,56,12,0.4539
30,5,5,139,12,0.5479
30,5,10,278,12,0.6396
30,5,20,556,12,0.7384
30,10,2,56,12,0.2764
30,10,5,139,12,0.3487
30,10,10,278,12,0.426
30,10,20,556,12,0.502
30,20,2,56,12,0.1151
30,20,5,139,12,0.1481
30,20,10,278,12,0.1819
30,20,20,556,12,0.2452
30,50,2,56,12,0.0941
30,50,5,139,12,0.1182
30,50,10,278,12,0.1322
30,50,20,556,12,0.159
36,5,2,56,12,0.4378
36,5,5,139,12,0.529
36,5,10,278,12,0.6197
36,5,20,556,12,0.7148
36,10,2,56,12,0.238
36,10,5,139,12,0.3038
36,10,10,278,12,0.3774
36,10,20,556,12,0.4569
36,20,2,56,12,0.1162
36,20,5,139,12,0.1519
36,20,10,278,12,0.1859
36,20,20,556,12,0.236
36,50,2,56,12,0.0801
36,50,5,139,12,0.104
36,50,10,278,12,0.1253
36,50,20,556,12,0.1572
42,5,2,56,12,0.4176
42,5,5,139,12,0.5047
42,5,10,278,12,0.5907
42,5,20,556,12,0.6822
42,10,2,56,12,0.2014
42,10,5,139,12,0.2557
42,10,10,278,12,0.3182
42,10,20,556,12,0.3975
42,20,2,56,12,0.1002
42,20,5,139,12,0.1307
42,20,10,278,12,0.1518
42,20,20,556,12,0.1802
42,50,2,56,12,0.0475
42,50,5,139,12,0.065
42,50,10,278,12,0.0751
42,50,20,556,12,0.078
48,5,2,56,12,0.4017
48,5,5,139,12,0.4862
48,5,10,278,12,0.5703
48,5,20,556,12,0.6668
48,10,2,56,12,0.1936
48,10,5,139,12,0.2538
48,10,10,278,12,0.3244
48,10,20,556,12,0.4157
48,20,2,56,12,0.0993
48,20,5,139,12,0.1292
48,20,10,278,12,0.154
48,20,20,556,12,0.1863
48,50,2,56,12,0.0505
48,50,5,139,12,0.0897
48,50,10,278,12,0.1236
48,50,20,556,12,0.1346
