lead_time_hr,threshold_mm,window_gridpts,window_km,n_samples,fss_avg
6,5,2,56,488,0.4893
6,5,5,139,488,0.6411
6,5,10,278,488,0.7687
6,5,20,556,488,0.8653
6,10,2,56,488,0.4002
6,10,5,139,488,0.5572
6,10,10,278,488,0.6998
6,10,20,556,488,0.8162
6,20,2,56,488,0.2899
6,20,5,139,488,0.4308
6,20,10,278,488,0.5725
6,20,20,556,488,0.7015
6,50,2,56,488,0.134
6,50,5,139,488,0.2107
6,50,10,278,488,0.2968
6,50,20,556,488,0.3803
12,5,2,56,488,0.4638
12,5,5,139,488,0.5861
12,5,10,278,488,0.7013
12,5,20,556,488,0.806
12,10,2,56,488,0.3346
12,10,5,139,488,0.4514
12,10,10,278,488,0.569
12,10,20,556,488,0.6776
12,20,2,56,488,0.2064
12,20,5,139,488,0.2944
12,20,10,278,488,0.3922
12,20,20,556,488,0.486
12,50,2,56,488,0.0996
12,50,5,139,488,0.1423
12,50,10,278,488,0.1932
12,50,20,556,488,0.2523
18,5,2,56,488,0.4568
18,5,5,139,488,0.5668
18,5,10,278,488,0.6734
18,5,20,556,488,0.7769
18,10,2,56,488,0.3135
18,10,5,139,488,0.4116
18,10,10,278,488,0.5111
18,10,20,556,488,0.6056
18,20,2,56,488,0.1849
18,20,5,139,488,0.2528
18,20,10,278,488,0.3251
18,20,20,556,488,0.3907
18,50,2,56,488,0.0903
18,50,5,139,488,0.1198
18,50,10,278,488,0.1545
18,50,20,556,488,0.1863
24,5,2,56,488,0.4418
24,5,5,139,488,0.5467
24,5,10,278,488,0.6516
24,5,20,556,488,0.7593
24,10,2,56,488,0.2912
24,10,5,139,488,0.3823
24,10,10,278,488,0.4766
24,10,20,556,488,0.5686
24,20,2,56,488,0.169
24,20,5,139,488,0.2286
24,20,10,278,488,0.291
24,20,20,556,488,0.3439
24,50,2,56,488,0.0825
24,50,5,139,488,0.1105
24,50,10,278,488,0.1396
24,50,20,556,488,0.164
30,5,2,56,488,0.428
30,5,5,139,488,0.53
30,5,10,278,488,0.6333
30,5,20,556,488,0.7398
30,10,2,56,488,0.2724
30,10,5,139,488,0.3574
30,10,10,278,488,0.4444
30,10,20,556,488,0.526
30,20,2,56,488,0.1484
30,20,5,139,488,0.2023
30,20,10,278,488,0.2591
30,20,20,556,488,0.3052
30,50,2,56,488,0.0781
30,50,5,139,488,0.1059
30,50,10,278,488,0.1356
30,50,20,556,488,0.1601
36,5,2,56,488,0.4135
36,5,5,139,488,0.5143
36,5,10,278,488,0.617
36,5,20,556,488,0.724
36,10,2,56,488,0.2497
36,10,5,139,488,0.3294
36,10,10,278,488,0.4112
36,10,20,556,488,0.4865
36,20,2,56,488,0.131
36,20,5,139,488,0.1777
36,20,10,278,488,0.2261
36,20,20,556,488,0.2655
36,50,2,56,488,0.0696
36,50,5,139,488,0.0951
36,50,10,278,488,0.1245
36,50,20,556,488,0.1477
42,5,2,56,488,0.3956
42,5,5,139,488,0.4932
42,5,10,278,488,0.5935
42,5,20,556,488,0.7001
42,10,2,56,488,0.2285
42,10,5,139,488,0.3017
42,10,10,278,488,0.3775
42,10,20,556,488,0.4475
42,20,2,56,488,0.117
42,20,5,139,488,0.158
42,20,10,278,488,0.2024
42,20,20,556,488,0.2374
42,50,2,56,488,0.0623
42,50,5,139,488,0.0852
42,50,10,278,488,0.1115
42,50,20,556,488,0.1344
48,5,2,56,488,0.38
48,5,5,139,488,0.4763
48,5,10,278,488,0.5765
48,5,20,556,488,0.6849
48,10,2,56,488,0.2067
48,10,5,139,488,0.2735
48,10,10,278,488,0.3428
48,10,20,556,488,0.4053
48,20,2,56,488,0.104
48,20,5,139,488,0.1391
48,20,10,278,488,0.1764
48,20,20,556,488,0.2065
48,50,2,56,488,0.0566
48,50,5,139,488,0.0756
48,50,10,278,488,0.0992
48,50,20,556,488,0.1215
