lead_time_hr,threshold_mm,window_gridpts,window_km,n_samples,fss_avg
6,5,2,56,488,0.4721
6,5,5,139,488,0.6157
6,5,10,278,488,0.7343
6,5,20,556,488,0.8241
6,10,2,56,488,0.3772
6,10,5,139,488,0.5257
6,10,10,278,488,0.6616
6,10,20,556,488,0.7764
6,20,2,56,488,0.2642
6,20,5,139,488,0.3931
6,20,10,278,488,0.5231
6,20,20,556,488,0.6468
6,50,2,56,488,0.1045
6,50,5,139,488,0.1617
6,50,10,278,488,0.2199
6,50,20,556,488,0.2811
12,5,2,56,487,0.4377
12,5,5,139,487,0.5593
12,5,10,278,487,0.6731
12,5,20,556,487,0.7778
12,10,2,56,487,0.3133
12,10,5,139,487,0.433
12,10,10,278,487,0.5622
12,10,20,556,487,0.699
12,20,2,56,487,0.1892
12,20,5,139,487,0.2788
12,20,10,278,487,0.3879
12,20,20,556,487,0.5222
12,50,2,56,487,0.074
12,50,5,139,487,0.1133
12,50,10,278,487,0.1681
12,50,20,556,487,0.2485
18,5,2,56,486,0.4321
18,5,5,139,486,0.5373
18,5,10,278,486,0.6414
18,5,20,556,486,0.75
18,10,2,56,486,0.29
18,10,5,139,486,0.3848
18,10,10,278,486,0.4872
18,10,20,556,486,0.6011
18,20,2,56,486,0.1598
18,20,5,139,486,0.2221
18,20,10,278,486,0.295
18,20,20,556,486,0.3818
18,50,2,56,486,0.0554
18,50,5,139,486,0.0791
18,50,10,278,486,0.109
18,50,20,556,486,0.1478
24,5,2,56,485,0.4216
24,5,5,139,485,0.5223
24,5,10,278,485,0.6235
24,5,20,556,485,0.7349
24,10,2,56,485,0.2705
24,10,5,139,485,0.3569
24,10,10,278,485,0.4511
24,10,20,556,485,0.5583
24,20,2,56,485,0.1346
24,20,5,139,485,0.1864
24,20,10,278,485,0.2477
24,20,20,556,485,0.3253
24,50,2,56,485,0.049
24,50,5,139,485,0.0692
24,50,10,278,485,0.0893
24,50,20,556,485,0.1113
30,5,2,56,484,0.4084
30,5,5,139,484,0.5053
30,5,10,278,484,0.6048
30,5,20,556,484,0.7167
30,10,2,56,484,0.2514
30,10,5,139,484,0.3331
30,10,10,278,484,0.4215
30,10,20,556,484,0.5228
30,20,2,56,484,0.1213
30,20,5,139,484,0.1695
30,20,10,278,484,0.2267
30,20,20,556,484,0.2946
30,50,2,56,484,0.0449
30,50,5,139,484,0.0621
30,50,10,278,484,0.0807
30,50,20,556,484,0.0974
36,5,2,56,483,0.3917
36,5,5,139,483,0.4879
36,5,10,278,483,0.5877
36,5,20,556,483,0.6995
36,10,2,56,483,0.2295
36,10,5,139,483,0.3058
36,10,10,278,483,0.39
36,10,20,556,483,0.4879
36,20,2,56,483,0.1054
36,20,5,139,483,0.1479
36,20,10,278,483,0.1967
36,20,20,556,483,0.2558
36,50,2,56,483,0.0384
36,50,5,139,483,0.0541
36,50,10,278,483,0.0731
36,50,20,556,483,0.0885
42,5,2,56,482,0.3757
42,5,5,139,482,0.4694
42,5,10,278,482,0.5677
42,5,20,556,482,0.68
42,10,2,56,482,0.207
42,10,5,139,482,0.2765
42,10,10,278,482,0.354
42,10,20,556,482,0.4443
42,20,2,56,482,0.0905
42,20,5,139,482,0.1259
42,20,10,278,482,0.1653
42,20,20,556,482,0.2104
42,50,2,56,482,0.0338
42,50,5,139,482,0.0474
42,50,10,278,482,0.0631
42,50,20,556,482,0.073
48,5,2,56,481,0.3607
48,5,5,139,481,0.4528
48,5,10,278,481,0.5513
48,5,20,556,481,0.6655
48,10,2,56,481,0.187
48,10,5,139,481,0.2507
48,10,10,278,481,0.321
48,10,20,556,481,0.4027
48,20,2,56,481,0.078
48,20,5,139,481,0.1089
48,20,10,278,481,0.1429
48,20,20,556,481,0.1809
48,50,2,56,481,0.0254
48,50,5,139,481,0.0381
48,50,10,278,481,0.0539
48,50,20,556,481,0.0639
