lead_time_hr,threshold_mm,window_gridpts,window_km,n_samples,fss_avg
6,5,2,56,485,0.5025
6,5,5,139,485,0.6426
6,5,10,278,485,0.7603
6,5,20,556,485,0.8459
6,10,2,56,485,0.4057
6,10,5,139,485,0.5616
6,10,10,278,485,0.7092
6,10,20,556,485,0.829
6,20,2,56,485,0.2802
6,20,5,139,485,0.4225
6,20,10,278,485,0.5739
6,20,20,556,485,0.7136
6,50,2,56,485,0.1049
6,50,5,139,485,0.1725
6,50,10,278,485,0.2561
6,50,20,556,485,0.3377
12,5,2,56,485,0.4769
12,5,5,139,485,0.5933
12,5,10,278,485,0.7045
12,5,20,556,485,0.8067
12,10,2,56,485,0.3491
12,10,5,139,485,0.4656
12,10,10,278,485,0.59
12,10,20,556,485,0.7121
12,20,2,56,485,0.2102
12,20,5,139,485,0.3019
12,20,10,278,485,0.4104
12,20,20,556,485,0.5285
12,50,2,56,485,0.0804
12,50,5,139,485,0.1232
12,50,10,278,485,0.1828
12,50,20,556,485,0.2634
18,5,2,56,485,0.4743
18,5,5,139,485,0.5776
18,5,10,278,485,0.6792
18,5,20,556,485,0.7781
18,10,2,56,485,0.3216
18,10,5,139,485,0.4168
18,10,10,278,485,0.5156
18,10,20,556,485,0.6067
18,20,2,56,485,0.1738
18,20,5,139,485,0.2379
18,20,10,278,485,0.3049
18,20,20,556,485,0.3666
18,50,2,56,485,0.0706
18,50,5,139,485,0.102
18,50,10,278,485,0.1328
18,50,20,556,485,0.163
24,5,2,56,485,0.4648
24,5,5,139,485,0.5641
24,5,10,278,485,0.6634
24,5,20,556,485,0.7634
24,10,2,56,485,0.3
24,10,5,139,485,0.3874
24,10,10,278,485,0.4774
24,10,20,556,485,0.5603
24,20,2,56,485,0.1521
24,20,5,139,485,0.2074
24,20,10,278,485,0.2624
24,20,20,556,485,0.3123
24,50,2,56,485,0.0612
24,50,5,139,485,0.0881
24,50,10,278,485,0.1161
24,50,20,556,485,0.1397
30,5,2,56,485,0.4542
30,5,5,139,485,0.5514
30,5,10,278,485,0.6495
30,5,20,556,485,0.7501
30,10,2,56,485,0.2789
30,10,5,139,485,0.3592
30,10,10,278,485,0.441
30,10,20,556,485,0.5197
30,20,2,56,485,0.1347
30,20,5,139,485,0.1834
30,20,10,278,485,0.2299
30,20,20,556,485,0.2714
30,50,2,56,485,0.0563
30,50,5,139,485,0.0786
30,50,10,278,485,0.1024
30,50,20,556,485,0.1234
36,5,2,56,485,0.4422
36,5,5,139,485,0.5382
36,5,10,278,485,0.6359
36,5,20,556,485,0.7377
36,10,2,56,485,0.2582
36,10,5,139,485,0.3335
36,10,10,278,485,0.4099
36,10,20,556,485,0.4821
36,20,2,56,485,0.1224
36,20,5,139,485,0.1658
36,20,10,278,485,0.2053
36,20,20,556,485,0.2377
36,50,2,56,485,0.0548
36,50,5,139,485,0.0751
36,50,10,278,485,0.0955
36,50,20,556,485,0.1127
42,5,2,56,485,0.4295
42,5,5,139,485,0.5242
42,5,10,278,485,0.6207
42,5,20,556,485,0.7222
42,10,2,56,485,0.2415
42,10,5,139,485,0.3111
42,10,10,278,485,0.3811
42,10,20,556,485,0.4493
42,20,2,56,485,0.1112
42,20,5,139,485,0.1494
42,20,10,278,485,0.1837
42,20,20,556,485,0.211
42,50,2,56,485,0.0505
42,50,5,139,485,0.0702
42,50,10,278,485,0.0895
42,50,20,556,485,0.1037
48,5,2,56,485,0.4163
48,5,5,139,485,0.5095
48,5,10,278,485,0.6052
48,5,20,556,485,0.7066
48,10,2,56,485,0.2237
48,10,5,139,485,0.2879
48,10,10,278,485,0.3504
48,10,20,556,485,0.4117
48,20,2,56,485,0.1016
48,20,5,139,485,0.1366
48,20,10,278,485,0.167
48,20,20,556,485,0.1912
48,50,2,56,485,0.0489
48,50,5,139,485,0.0668
48,50,10,278,485,0.0837
48,50,20,556,485,0.097
