version,lead_time_hr,threshold_mm,window_gridpts,window_km,n_samples,fss_avg
fourcastnet_mlp,6,5,2,56,1461,0.4879
fourcastnet_mlp,6,5,5,139,1461,0.6332
fourcastnet_mlp,6,5,10,278,1461,0.7544
fourcastnet_mlp,6,5,20,556,1461,0.8451
fourcastnet_mlp,6,10,2,56,1461,0.3943
fourcastnet_mlp,6,10,5,139,1461,0.5482
fourcastnet_mlp,6,10,10,278,1461,0.6902
fourcastnet_mlp,6,10,20,556,1461,0.8072
fourcastnet_mlp,6,20,2,56,1461,0.2781
fourcastnet_mlp,6,20,5,139,1461,0.4155
fourcastnet_mlp,6,20,10,278,1461,0.5565
fourcastnet_mlp,6,20,20,556,1461,0.6872
fourcastnet_mlp,6,50,2,56,1461,0.1145
fourcastnet_mlp,6,50,5,139,1461,0.1817
fourcastnet_mlp,6,50,10,278,1461,0.2576
fourcastnet_mlp,6,50,20,556,1461,0.333
fourcastnet_mlp,12,5,2,56,1460,0.4594
fourcastnet_mlp,12,5,5,139,1460,0.5796
fourcastnet_mlp,12,5,10,278,1460,0.6929
fourcastnet_mlp,12,5,20,556,1460,0.7968
fourcastnet_mlp,12,10,2,56,1460,0.3323
fourcastnet_mlp,12,10,5,139,1460,0.45
fourcastnet_mlp,12,10,10,278,1460,0.5737
fourcastnet_mlp,12,10,20,556,1460,0.6962
fourcastnet_mlp,12,20,2,56,1460,0.2019
fourcastnet_mlp,12,20,5,139,1460,0.2916
fourcastnet_mlp,12,20,10,278,1460,0.3968
fourcastnet_mlp,12,20,20,556,1460,0.5122
fourcastnet_mlp,12,50,2,56,1460,0.0847
fourcastnet_mlp,12,50,5,139,1460,0.1263
fourcastnet_mlp,12,50,10,278,1460,0.1814
fourcastnet_mlp,12,50,20,556,1460,0.2547
fourcastnet_mlp,18,5,2,56,1459,0.4544
fourcastnet_mlp,18,5,5,139,1459,0.5606
fourcastnet_mlp,18,5,10,278,1459,0.6647
fourcastnet_mlp,18,5,20,556,1459,0.7683
fourcastnet_mlp,18,10,2,56,1459,0.3084
fourcastnet_mlp,18,10,5,139,1459,0.4044
fourcastnet_mlp,18,10,10,278,1459,0.5047
fourcastnet_mlp,18,10,20,556,1459,0.6045
fourcastnet_mlp,18,20,2,56,1459,0.1729
fourcastnet_mlp,18,20,5,139,1459,0.2376
fourcastnet_mlp,18,20,10,278,1459,0.3084
fourcastnet_mlp,18,20,20,556,1459,0.3797
fourcastnet_mlp,18,50,2,56,1459,0.0721
fourcastnet_mlp,18,50,5,139,1459,0.1003
fourcastnet_mlp,18,50,10,278,1459,0.1321
fourcastnet_mlp,18,50,20,556,1459,0.1657
fourcastnet_mlp,24,5,2,56,1458,0.4428
fourcastnet_mlp,24,5,5,139,1458,0.5444
fourcastnet_mlp,24,5,10,278,1458,0.6462
fourcastnet_mlp,24,5,20,556,1458,0.7526
fourcastnet_mlp,24,10,2,56,1458,0.2873
fourcastnet_mlp,24,10,5,139,1458,0.3756
fourcastnet_mlp,24,10,10,278,1458,0.4684
fourcastnet_mlp,24,10,20,556,1458,0.5624
fourcastnet_mlp,24,20,2,56,1458,0.1519
fourcastnet_mlp,24,20,5,139,1458,0.2075
fourcastnet_mlp,24,20,10,278,1458,0.2671
fourcastnet_mlp,24,20,20,556,1458,0.3272
fourcastnet_mlp,24,50,2,56,1458,0.0643
fourcastnet_mlp,24,50,5,139,1458,0.0893
fourcastnet_mlp,24,50,10,278,1458,0.1151
fourcastnet_mlp,24,50,20,556,1458,0.1384
fourcastnet_mlp,30,5,2,56,1457,0.4302
fourcastnet_mlp,30,5,5,139,1457,0.5289
fourcastnet_mlp,30,5,10,278,1457,0.6292
fourcastnet_mlp,30,5,20,556,1457,0.7356
fourcastnet_mlp,30,10,2,56,1457,0.2676
fourcastnet_mlp,30,10,5,139,1457,0.3499
