lead_time_hr,threshold_mm,window_gridpts,window_km,n_samples,fss_avg
6,1,2,56,12,0.6971396330191215
6,1,5,139,12,0.7670722795992445
6,1,10,278,12,0.8135623250412332
6,1,20,556,12,0.8479920584757777
6,5,2,56,12,0.5126718314197203
6,5,5,139,12,0.6148054629295693
6,5,10,278,12,0.7087107901404092
6,5,20,556,12,0.8054919487321031
6,10,2,56,12,0.3028783138755467
6,10,5,139,12,0.3975309130262616
6,10,10,278,12,0.4965793045806561
6,10,20,556,12,0.5951666293572506
6,20,2,56,12,0.1246004506579899
6,20,5,139,12,0.16475746528317206
6,20,10,278,12,0.19831568215210815
6,20,20,556,12,0.22021846396377845
6,50,2,56,12,0.05274982134925465
6,50,5,139,12,0.08782042251048451
6,50,10,278,12,0.09988065628512671
6,50,20,556,12,0.1034407514373253
6,100,2,56,12,0.0
6,100,5,139,12,0.0
6,100,10,278,12,0.0
6,100,20,556,12,0.0
12,1,2,56,12,0.6770383187660944
12,1,5,139,12,0.7458006801657344
12,1,10,278,12,0.7965399462385845
12,1,20,556,12,0.8358962589536371
12,5,2,56,12,0.5088882265379745
12,5,5,139,12,0.6105017246801497
12,5,10,278,12,0.7027628703054871
12,5,20,556,12,0.8018309956227935
12,10,2,56,12,0.2990224080581499
12,10,5,139,12,0.39005587638922173
12,10,10,278,12,0.49031489887933816
12,10,20,556,12,0.6054461255122928
12,20,2,56,12,0.10053922875324255
12,20,5,139,12,0.13080093861570077
12,20,10,278,12,0.16032883892864305
12,20,20,556,12,0.17900863834895456
12,50,2,56,12,0.05419161676646706
12,50,5,139,12,0.06314730883343345
12,50,10,278,12,0.0595324013930989
12,50,20,556,12,0.05160327369949921
12,100,2,56,12,0.0
12,100,5,139,12,0.0
12,100,10,278,12,0.0
12,100,20,556,12,0.0
18,1,2,56,12,0.6699239324195293
18,1,5,139,12,0.7377204812156887
18,1,10,278,12,0.7875544516445858
18,1,20,556,12,0.8273102038244337
18,5,2,56,12,0.48295381529335724
18,5,5,139,12,0.5839607563160748
18,5,10,278,12,0.6810262993924723
18,5,20,556,12,0.7873383042976329
18,10,2,56,12,0.2859003551023246
18,10,5,139,12,0.3638558691679235
18,10,10,278,12,0.44417147074311686
18,10,20,556,12,0.5451564860887891
18,20,2,56,12,0.09741209701863533
18,20,5,139,12,0.12568978498513442
18,20,10,278,12,0.1485506674952162
18,20,20,556,12,0.15427236703741554
18,50,2,56,12,0.04105960264900663
18,50,5,139,12,0.04807534302851039
18,50,10,278,12,0.04275424025143262
18,50,20,556,12,0.036284090531021364
18,100,2,56,12,0.0
18,100,5,139,12,0.0
18,100,10,278,12,0.0
18,100,20,556,12,0.0
24,1,2,56,12,0.6610225180838958
24,1,5,139,12,0.7267490707791522
24,1,10,278,12,0.7748467872627317
24,1,20,556,12,0.811425139642191
24,5,2,56,12,0.47681667234921593
24,5,5,139,12,0.5688912115409502
24,5,10,278,12,0.6519636335439419
24,5,20,556,12,0.7518257711081026
24,10,2,56,12,0.26681348853026104
24,10,5,139,12,0.3381619804489276
24,10,10,278,12,0.4072449249155812
24,10,20,556,12,0.5041418910598678
24,20,2,56,12,0.07321040827036933
24,20,5,139,12,0.09954500774785062
24,20,10,278,12,0.11227838326923956
24,20,20,556,12,0.10991066177387698
24,50,2,56,12,0.03989968080255358
24,50,5,139,12,0.050983237119130685
24,50,10,278,12,0.045110581802704386
24,50,20,556,12,0.038172681961346065
24,100,2,56,12,0.0
24,100,5,139,12,0.0
24,100,10,278,12,0.0
24,100,20,556,12,0.0
30,1,2,56,12,0.6409355544163902
30,1,5,139,12,0.702297614868511
30,1,10,278,12,0.7482432202558096
30,1,20,556,12,0.7848971847017086
30,5,2,56,12,0.45670845108368496
30,5,5,139,12,0.5459251659623614
30,5,10,278,12,0.6296075295538234
30,5,20,556,12,0.7363290212432294
30,10,2,56,12,0.2230326046211939
30,10,5,139,12,0.2901541229069427
30,10,10,278,12,0.3597756642719139
30,10,20,556,12,0.4721693099759032
30,20,2,56,12,0.08792035124702051
30,20,5,139,12,0.11630961757475833
30,20,10,278,12,0.12832145721918545
30,20,20,556,12,0.11902937414019397
30,50,2,56,12,0.020607934054611022
30,50,5,139,12,0.030452931137862644
30,50,10,278,12,0.026162637767314634
30,50,20,556,12,0.021832722727879866
30,100,2,56,12,0.0
30,100,5,139,12,0.0
30,100,10,278,12,0.0
30,100,20,556,12,0.0
36,1,2,56,12,0.6409330037838062
36,1,5,139,12,0.7019261866791386
36,1,10,278,12,0.7468811059595216
36,1,20,556,12,0.7839670657131078
36,5,2,56,12,0.45698964931238795
36,5,5,139,12,0.5483990797291646
36,5,10,278,12,0.6367020555234496
36,5,20,556,12,0.7425490689604167
36,10,2,56,12,0.2241876788125221
36,10,5,139,12,0.28604340091077957
36,10,10,278,12,0.3418766346160964
36,10,20,556,12,0.4324624452109643
36,20,2,56,12,0.07413544547279471
36,20,5,139,12,0.0946637603395587
36,20,10,278,12,0.100363350451184
36,20,20,556,12,0.08952484880523566
36,50,2,56,12,0.027694982613015406
36,50,5,139,12,0.037835811710471845
36,50,10,278,12,0.035286948578063505
36,50,20,556,12,0.02973077102694625
36,100,2,56,12,0.0
36,100,5,139,12,0.0
36,100,10,278,12,0.0
36,100,20,556,12,0.0
42,1,2,56,12,0.633780293306243
42,1,5,139,12,0.6936997261809426
42,1,10,278,12,0.7388733129184217
42,1,20,556,12,0.7777368467224156
42,5,2,56,12,0.45641034785689366
42,5,5,139,12,0.545108161612888
42,5,10,278,12,0.6249350214263512
42,5,20,556,12,0.7234074914780577
42,10,2,56,12,0.20441738847657676
42,10,5,139,12,0.26853182132975567
42,10,10,278,12,0.33470707412148193
42,10,20,556,12,0.4413708256208697
42,20,2,56,12,0.07332150480521561
42,20,5,139,12,0.09316813820279518
42,20,10,278,12,0.1005341776429457
42,20,20,556,12,0.09312776689085478
42,50,2,56,12,0.014885699096225419
42,50,5,139,12,0.021036000852091175
42,50,10,278,12,0.016473452612298694
42,50,20,556,12,0.013630122287892066
42,100,2,56,12,0.0
42,100,5,139,12,0.0
42,100,10,278,12,0.0
42,100,20,556,12,0.0
48,1,2,56,12,0.6341700465608385
48,1,5,139,12,0.6948107386088577
48,1,10,278,12,0.7395970854703449
48,1,20,556,12,0.7771562822848023
48,5,2,56,12,0.44518923674050326
