lead_time_hr,threshold_mm,window_gridpts,window_km,n_samples,fss_avg
6,1,2,56,488,0.6814648074113415
6,1,5,139,488,0.7543210820472356
6,1,10,278,488,0.8039649389772571
6,1,20,556,488,0.8416272662498485
6,5,2,56,488,0.494315797849829
6,5,5,139,488,0.6009786365036363
6,5,10,278,488,0.6934184209994659
6,5,20,556,488,0.7871427368943418
6,10,2,56,488,0.2944248592302784
6,10,5,139,488,0.3833069382298214
6,10,10,278,488,0.46436940421452605
6,10,20,556,488,0.5359358755149521
6,20,2,56,488,0.15409733406987272
6,20,5,139,488,0.20396215561722203
6,20,10,278,488,0.2495533597927934
6,20,20,556,488,0.2827505340144774
6,50,2,56,488,0.07790535242608458
6,50,5,139,488,0.10584090333804322
6,50,10,278,488,0.1307149197885175
6,50,20,556,488,0.15151553330362147
6,100,2,56,488,0.007715073763389293
6,100,5,139,488,0.012371506311393308
6,100,10,278,488,0.016831365517811663
6,100,20,556,488,0.02036067144767647
12,1,2,56,488,0.6605615998405585
12,1,5,139,488,0.731123724112708
12,1,10,278,488,0.7827373549976069
12,1,20,556,488,0.8246150047940501
12,5,2,56,488,0.4805205853178517
12,5,5,139,488,0.5845418523547976
12,5,10,278,488,0.6829789233344922
12,5,20,556,488,0.7910379080401087
12,10,2,56,488,0.28963084728404165
12,10,5,139,488,0.3781306040970752
12,10,10,278,488,0.4656957142825172
12,10,20,556,488,0.5515117893552776
12,20,2,56,488,0.1429897640568281
12,20,5,139,488,0.18932433019811853
12,20,10,278,488,0.23266115589022124
12,20,20,556,488,0.26260702628253446
12,50,2,56,488,0.06635655387158992
12,50,5,139,488,0.08796558482016348
12,50,10,278,488,0.1045475447102175
12,50,20,556,488,0.11536565878664945
12,100,2,56,488,0.004015209911442583
12,100,5,139,488,0.006162669362335969
12,100,10,278,488,0.009555044560328137
12,100,20,556,488,0.011618525381645366
18,1,2,56,488,0.6470062510496368
18,1,5,139,488,0.7149978955806829
18,1,10,278,488,0.7659097721701821
18,1,20,556,488,0.8087486961445367
18,5,2,56,488,0.46756331706211507
18,5,5,139,488,0.5678489319570863
18,5,10,278,488,0.662503127801508
18,5,20,556,488,0.7692201029065309
18,10,2,56,488,0.2792792015839106
18,10,5,139,488,0.3635372980536852
18,10,10,278,488,0.44620021194986675
18,10,20,556,488,0.528470402865209
18,20,2,56,488,0.13710468966426978
18,20,5,139,488,0.17985880872492843
18,20,10,278,488,0.2195996319431724
18,20,20,556,488,0.24721411132172116
18,50,2,56,488,0.06280714430505759
18,50,5,139,488,0.08366302168839508
18,50,10,278,488,0.09922936888591188
18,50,20,556,488,0.10848561935964356
18,100,2,56,488,0.003752181311257368
18,100,5,139,488,0.0061591305676541
18,100,10,278,488,0.00928404659010994
18,100,20,556,488,0.011737143689474457
24,1,2,56,488,0.6370454169139568
24,1,5,139,488,0.7034528045394456
24,1,10,278,488,0.7539649361381793
24,1,20,556,488,0.7975241083852306
24,5,2,56,488,0.4582129649569695
24,5,5,139,488,0.5564252371151331
24,5,10,278,488,0.6481284538819171
24,5,20,556,488,0.7501512700514189
24,10,2,56,488,0.27156397814072214
24,10,5,139,488,0.35419257821800865
24,10,10,278,488,0.4345673842198661
24,10,20,556,488,0.5093767410621161
24,20,2,56,488,0.12513884893310656
24,20,5,139,488,0.16453864033604212
24,20,10,278,488,0.19915528797361465
24,20,20,556,488,0.2221461787977635
24,50,2,56,488,0.054376548129161005
24,50,5,139,488,0.07381504267116763
24,50,10,278,488,0.08852285626762244
24,50,20,556,488,0.09798342982744843
24,100,2,56,488,0.0018171113309303519
24,100,5,139,488,0.0030418207111533274
24,100,10,278,488,0.005027612681189846
24,100,20,556,488,0.00730098501959893
30,1,2,56,488,0.6276741829368527
30,1,5,139,488,0.691957966706909
30,1,10,278,488,0.7413529926986555
30,1,20,556,488,0.7846629949473038
30,5,2,56,488,0.4434949987050445
30,5,5,139,488,0.5401890109938463
30,5,10,278,488,0.6312847451852652
30,5,20,556,488,0.7324522766344596
30,10,2,56,488,0.24937466426799612
30,10,5,139,488,0.32485607447833437
30,10,10,278,488,0.39926160639544367
30,10,20,556,488,0.4699229095283315
30,20,2,56,488,0.11362075671500771
30,20,5,139,488,0.15080926276809675
30,20,10,278,488,0.1839744671091303
30,20,20,556,488,0.20600195414998168
30,50,2,56,488,0.04827048241971667
30,50,5,139,488,0.06743161604671064
30,50,10,278,488,0.08202781910224054
30,50,20,556,488,0.09147977389059389
30,100,2,56,488,0.00029111884737228057
30,100,5,139,488,0.0010602332311263208
30,100,10,278,488,0.0021681197669163863
30,100,20,556,488,0.0028700120092811903
36,1,2,56,488,0.6202039805970221
36,1,5,139,488,0.6835554661434646
36,1,10,278,488,0.7326495066495469
36,1,20,556,488,0.7758774067826947
36,5,2,56,488,0.43469547067972536
36,5,5,139,488,0.5299770756024246
36,5,10,278,488,0.6213373510556301
36,5,20,556,488,0.7274293590045677
36,10,2,56,488,0.23672231227689303
36,10,5,139,488,0.3093812183221461
36,10,10,278,488,0.3804546036296031
36,10,20,556,488,0.45092498728806957
36,20,2,56,488,0.10650017803842615
36,20,5,139,488,0.14088545917995376
36,20,10,278,488,0.17330521149337183
36,20,20,556,488,0.19491479251778765
36,50,2,56,488,0.04065449287313848
36,50,5,139,488,0.05999347285095059
36,50,10,278,488,0.07706165282063208
36,50,20,556,488,0.08684731104709613
36,100,2,56,488,0.0006817795340942416
36,100,5,139,488,0.0016196818661674422
36,100,10,278,488,0.0037509872850631787
36,100,20,556,488,0.0053211651572791846
42,1,2,56,488,0.6119847723635625
42,1,5,139,488,0.6733243433217623
42,1,10,278,488,0.721156123253683
42,1,20,556,488,0.7638388988064292
42,5,2,56,488,0.42372628174758026
42,5,5,139,488,0.5171419598220982
