lead_time_hr,threshold_mm,window_gridpts,window_km,n_samples,fss_avg
6,1,2,56,488,0.671629668602764
6,1,5,139,488,0.7445769850062071
6,1,10,278,488,0.7938536094577464
6,1,20,556,488,0.8303091857972842
6,5,2,56,488,0.4822671164555864
6,5,5,139,488,0.5902156784285963
6,5,10,278,488,0.6842785034002035
6,5,20,556,488,0.7839158730180547
6,10,2,56,488,0.259765347675049
6,10,5,139,488,0.3399772898445113
6,10,10,278,488,0.4133148762147677
6,10,20,556,488,0.4860514867625387
6,20,2,56,488,0.09398552318715668
6,20,5,139,488,0.12730452562349973
6,20,10,278,488,0.15891399587056595
6,20,20,556,488,0.18847123738854465
6,50,2,56,488,0.02693324935241967
6,50,5,139,488,0.04035321319758628
6,50,10,278,488,0.05504002200045177
6,50,20,556,488,0.0668922707146989
6,100,2,56,488,0.0034011740669151235
6,100,5,139,488,0.005369790408364891
6,100,10,278,488,0.00614828064940315
6,100,20,556,488,0.0072536309836446905
12,1,2,56,488,0.6542079509137747
12,1,5,139,488,0.725592174478346
12,1,10,278,488,0.7771264856073539
12,1,20,556,488,0.8177347646662009
12,5,2,56,488,0.46358152827961013
12,5,5,139,488,0.5682223748502068
12,5,10,278,488,0.6678081455490105
12,5,20,556,488,0.7817408010998492
12,10,2,56,488,0.25550035805646315
12,10,5,139,488,0.33759172284745154
12,10,10,278,488,0.4185894792458159
12,10,20,556,488,0.5048542447683968
12,20,2,56,488,0.08763288862473294
12,20,5,139,488,0.11887474619948964
12,20,10,278,488,0.14823987453694618
12,20,20,556,488,0.17369842561340476
12,50,2,56,488,0.017187501612420362
12,50,5,139,488,0.02417882025916672
12,50,10,278,488,0.02881598380646549
12,50,20,556,488,0.02934869691369733
12,100,2,56,488,0.0015812522294426966
12,100,5,139,488,0.0021604642177942713
12,100,10,278,488,0.002753326472617474
12,100,20,556,488,0.003214470409939215
18,1,2,56,487,0.642705041374677
18,1,5,139,487,0.7125399351775675
18,1,10,278,487,0.7644613333131268
18,1,20,556,487,0.8067998919629278
18,5,2,56,487,0.45099316612292306
18,5,5,139,487,0.5519461652502189
18,5,10,278,487,0.6477949982096826
18,5,20,556,487,0.7609200023932022
18,10,2,56,487,0.2456436204152195
18,10,5,139,487,0.3215485310207101
18,10,10,278,487,0.39599197482651943
18,10,20,556,487,0.48148259731188425
18,20,2,56,487,0.07802015150445765
18,20,5,139,487,0.10545886623031231
18,20,10,278,487,0.12940493202306533
18,20,20,556,487,0.1528522387524866
18,50,2,56,487,0.010737864762325517
18,50,5,139,487,0.013496641302268015
18,50,10,278,487,0.014551175665085132
18,50,20,556,487,0.015267749529737588
18,100,2,56,487,0.0006484383443207608
18,100,5,139,487,0.0011733646230566149
18,100,10,278,487,0.0014044818972950388
18,100,20,556,487,0.0025706370955794968
24,1,2,56,486,0.63563740772197
24,1,5,139,486,0.7041457478020184
24,1,10,278,486,0.7554950323325154
24,1,20,556,486,0.7981932364482548
24,5,2,56,486,0.4408786337493336
