lead_time_hr,threshold_mm,window_gridpts,window_km,n_samples,fss_avg
6,1,2,56,485,0.6969834812008736
6,1,5,139,485,0.7631124313418944
6,1,10,278,485,0.8088681899659891
6,1,20,556,485,0.8452831555499343
6,5,2,56,485,0.5311635851942685
6,5,5,139,485,0.635349441624492
6,5,10,278,485,0.7240464163401003
6,5,20,556,485,0.8121304598546409
6,10,2,56,485,0.3181742146921368
6,10,5,139,485,0.40915808582483715
6,10,10,278,485,0.4928391419688162
6,10,20,556,485,0.568180519554531
6,20,2,56,485,0.13337869509795414
6,20,5,139,485,0.18421399531537347
6,20,10,278,485,0.23500764919541522
6,20,20,556,485,0.26630150021368604
6,50,2,56,485,0.0390716645073949
6,50,5,139,485,0.05656287507058854
6,50,10,278,485,0.07766196359053394
6,50,20,556,485,0.09081727137069195
6,100,2,56,485,0.007316976713000801
6,100,5,139,485,0.011442087770819677
6,100,10,278,485,0.01595837735999148
6,100,20,556,485,0.018794402587695984
12,1,2,56,485,0.6786532002125356
12,1,5,139,485,0.7429253568563765
12,1,10,278,485,0.790575443014565
12,1,20,556,485,0.8311922533815514
12,5,2,56,485,0.5113135311665022
12,5,5,139,485,0.6115326600966989
12,5,10,278,485,0.7042574872441887
12,5,20,556,485,0.8057597992085
12,10,2,56,485,0.31285408155169586
12,10,5,139,485,0.4041068703343749
12,10,10,278,485,0.494639954472994
12,10,20,556,485,0.5846784725932026
12,20,2,56,485,0.12883454387054494
12,20,5,139,485,0.17560525632931023
12,20,10,278,485,0.22063965548054526
12,20,20,556,485,0.24753407247480178
12,50,2,56,485,0.031783716402776156
12,50,5,139,485,0.04450023476253279
12,50,10,278,485,0.05540891144764904
12,50,20,556,485,0.05808215088115685
12,100,2,56,485,0.0031632412405477764
12,100,5,139,485,0.003910654072022128
12,100,10,278,485,0.004555951256003837
12,100,20,556,485,0.004448249655333134
18,1,2,56,485,0.6661642149728675
18,1,5,139,485,0.7283108767013744
18,1,10,278,485,0.7753238003319921
18,1,20,556,485,0.8168205771327062
18,5,2,56,485,0.5014279962011184
18,5,5,139,485,0.5989610767840347
18,5,10,278,485,0.6886585058132966
18,5,20,556,485,0.7867096575778687
18,10,2,56,485,0.30577034551771637
18,10,5,139,485,0.39233544210640514
18,10,10,278,485,0.47431465513443744
18,10,20,556,485,0.5567180440520153
18,20,2,56,485,0.12470671862960674
18,20,5,139,485,0.1687103939957541
18,20,10,278,485,0.20935475947429483
18,20,20,556,485,0.23303824952091898
18,50,2,56,485,0.02723596628102491
18,50,5,139,485,0.03770775385739107
18,50,10,278,485,0.04624594009124367
18,50,20,556,485,0.04706091847896621
18,100,2,56,485,0.0018043077033923951
18,100,5,139,485,0.0024732111025126784
18,100,10,278,485,0.0027726032984575428
18,100,20,556,485,0.0028221224693622546
24,1,2,56,485,0.6575705340400261
24,1,5,139,485,0.7187070035984522
24,1,10,278,485,0.7654974289496592
24,1,20,556,485,0.8073226887219499
24,5,2,56,485,0.49542503476419103
24,5,5,139,485,0.5910247340103614
24,5,10,278,485,0.677734399645532
24,5,20,556,485,0.7709231592642934
24,10,2,56,485,0.2972895423751346
24,10,5,139,485,0.3811252427652169
24,10,10,278,485,0.459709480676956
24,10,20,556,485,0.5385398946904191
24,20,2,56,485,0.11730948610689644
24,20,5,139,485,0.15790207701153489
24,20,10,278,485,0.1945864762309764
24,20,20,556,485,0.21710044316257737
24,50,2,56,485,0.026822089904540703
24,50,5,139,485,0.036432514335815576
24,50,10,278,485,0.04423154533091879
24,50,20,556,485,0.043910910126447725
24,100,2,56,485,0.0009743892669554029
24,100,5,139,485,0.0014473655068935184
24,100,10,278,485,0.0017750615883283737
24,100,20,556,485,0.0017086659626670616
30,1,2,56,485,0.648074192472111
30,1,5,139,485,0.7076358143051873
30,1,10,278,485,0.753365579082835
30,1,20,556,485,0.7946569503610605
30,5,2,56,485,0.48242313730254044
30,5,5,139,485,0.5765872070797939
30,5,10,278,485,0.6630022485378967
30,5,20,556,485,0.7567042542930076
30,10,2,56,485,0.28146767012287005
30,10,5,139,485,0.36141620882455583
30,10,10,278,485,0.4371031010762119
30,10,20,556,485,0.514759121404445
30,20,2,56,485,0.10394550789154372
30,20,5,139,485,0.14011408777530288
30,20,10,278,485,0.174729198851654
30,20,20,556,485,0.19610366556342285
30,50,2,56,485,0.025056391817228615
30,50,5,139,485,0.035179714914797794
30,50,10,278,485,0.04319563894912284
30,50,20,556,485,0.04290106862806592
30,100,2,56,485,0.0014731300657663097
30,100,5,139,485,0.0018943792433474182
30,100,10,278,485,0.0020659771421424906
30,100,20,556,485,0.001890516191557777
36,1,2,56,485,0.6417394502390189
36,1,5,139,485,0.7002519606706535
36,1,10,278,485,0.7455576447588891
36,1,20,556,485,0.7870001469607383
36,5,2,56,485,0.478615121115295
36,5,5,139,485,0.5720996389153858
36,5,10,278,485,0.6578049927518259
36,5,20,556,485,0.7525136410006992
36,10,2,56,485,0.27282152812452887
36,10,5,139,485,0.3497984248712357
36,10,10,278,485,0.4231721841906809
36,10,20,556,485,0.4998386490265189
36,20,2,56,485,0.10004554862111481
36,20,5,139,485,0.13539525821809376
36,20,10,278,485,0.16862988989346164
36,20,20,556,485,0.18630752673655615
36,50,2,56,485,0.023461200900341126
36,50,5,139,485,0.03263834449539047
36,50,10,278,485,0.03952050424815096
36,50,20,556,485,0.03848859057024535
36,100,2,56,485,0.001545701515970531
36,100,5,139,485,0.002174470723668825
36,100,10,278,485,0.00265662403081722
36,100,20,556,485,0.0024984974202077637
42,1,2,56,485,0.6350012794427012
42,1,5,139,485,0.6925942833236576
42,1,10,278,485,0.7377132258101937
42,1,20,556,485,0.7796733446711528
42,5,2,56,485,0.4710685169767924
42,5,5,139,485,0.5641001258011633
42,5,10,278,485,0.6496183107618133
42,5,20,556,485,0.745429402131654
42,10,2,56,485,0.2664927045424625
42,10,5,139,485,0.34202208064864675
42,10,10,278,485,0.41365033604481855
42,10,20,556,485,0.4884354840598576
42,20,2,56,485,0.09473951611046942
42,20,5,139,485,0.1274628213926428
42,20,10,278,485,0.15710738697704324
42,20,20,556,485,0.1757250431888549
42,50,2,56,485,0.021264073715751643
42,50,5,139,485,0.02989448233707216
42,50,10,278,485,0.03706537183610572
42,50,20,556,485,0.036776643098296244
42,100,2,56,485,0.0017510605059178387
42,100,5,139,485,0.0024081902173114585
42,100,10,278,485,0.002734467106292091
42,100,20,556,485,0.0024638180749201014
48,1,2,56,485,0.6282715945804902
48,1,5,139,485,0.68472694353121
48,1,10,278,485,0.7292102733962678
48,1,20,556,485,0.7707984773656399
48,5,2,56,485,0.46412787053723586
48,5,5,139,485,0.5556941945733758
48,5,10,278,485,0.6394703782132005
48,5,20,556,485,0.7337411619456727
48,10,2,56,485,0.26086092842160613
48,10,5,139,485,0.33402353717732164
48,10,10,278,485,0.4027631984227724
48,10,20,556,485,0.4765362206040803
48,20,2,56,485,0.09231368661741773
48,20,5,139,485,0.12407391527659227
48,20,10,278,485,0.1521149751445123
48,20,20,556,485,0.17045785732355098
48,50,2,56,485,0.017624973420110567
48,50,5,139,485,0.025125608079081097
48,50,10,278,485,0.031835237728977166
48,50,20,556,485,0.03238323578633745
48,100,2,56,485,0.0015773084316454888
48,100,5,139,485,0.002142523690704596
48,100,10,278,485,0.0025272133178126798
48,100,20,556,485,0.002293458932763997
