lead_time_hr,threshold_mm,window_gridpts,window_km,n_samples,fss_avg
6,1,2,56,1461,0.6833313433794026
6,1,5,139,1461,0.7539847952928809
6,1,10,278,1461,0.8022152797876705
6,1,20,556,1461,0.8390604510887876
6,5,2,56,1461,0.5025234777551423
6,5,5,139,1461,0.6087935009410048
6,5,10,278,1461,0.700532930206699
6,5,20,556,1461,0.7943599415925738
6,10,2,56,1461,0.2907319062939673
6,10,5,139,1461,0.37741572547934316
6,10,10,278,1461,0.4567672229324922
6,10,20,556,1461,0.5299776760953887
6,20,2,56,1461,0.12714106876381803
6,20,5,139,1461,0.17180145665532398
6,20,10,278,1461,0.2144495410153975
6,20,20,556,1461,0.24579907737735285
6,50,2,56,1461,0.047988360680353594
6,50,5,139,1461,0.06760829793197991
6,50,10,278,1461,0.08782646402082546
6,50,20,556,1461,0.10310019505525389
6,100,2,56,1461,0.006142000442843219
6,100,5,139,1461,0.009724274721484972
6,100,10,278,1461,0.01297322405831396
6,100,20,556,1461,0.015462741164625106
12,1,2,56,1461,0.6644451354354513
12,1,5,139,1461,0.7331938101216816
12,1,10,278,1461,0.783465191017991
12,1,20,556,1461,0.8245002945836104
12,5,2,56,1461,0.48508480085647837
12,5,5,139,1461,0.5880508439582075
12,5,10,278,1461,0.6849753394446139
12,5,20,556,1461,0.7928196527559356
12,10,2,56,1461,0.28593994370892456
12,10,5,139,1461,0.37321309217050025
12,10,10,278,1461,0.4595698510343796
12,10,20,556,1461,0.5469374975085944
12,20,2,56,1461,0.11980055324148943
12,20,5,139,1461,0.1612386711853171
12,20,10,278,1461,0.2004722352885162
12,20,20,556,1461,0.2279062872522226
12,50,2,56,1461,0.038456263881959926
12,50,5,139,1461,0.0522307211078313
12,50,10,278,1461,0.06293957834924784
12,50,20,556,1461,0.0676183769740796
12,100,2,56,1461,0.0029194014554535853
12,100,5,139,1461,0.004078272698175421
12,100,10,278,1461,0.005623628626447172
12,100,20,556,1461,0.0064311451260300094
18,1,2,56,1460,0.6519356506325557
18,1,5,139,1460,0.7186004771746679
18,1,10,278,1460,0.7685538913038066
18,1,20,556,1460,0.8107800623382481
18,5,2,56,1460,0.4732857183463822
18,5,5,139,1460,0.5728795777480626
18,5,10,278,1460,0.6662856615169179
18,5,20,556,1460,0.772261394047358
18,10,2,56,1460,0.2768598021172963
18,10,5,139,1460,0.35909796265677446
18,10,10,278,1460,0.4387920567892138
18,10,20,556,1460,0.5221807074344774
18,20,2,56,1460,0.11327784991383137
18,20,5,139,1460,0.15133842986292326
18,20,10,278,1460,0.18611087714283148
18,20,20,556,1460,0.21102950521582645
18,50,2,56,1460,0.03362237685371076
18,50,5,139,1460,0.04499224624587397
18,50,10,278,1460,0.05338331199279085
18,50,20,556,1460,0.05698693269231979
18,100,2,56,1460,0.002069824102550081
18,100,5,139,1460,0.003271638132303028
18,100,10,278,1460,0.004492678095690578
18,100,20,556,1460,0.005718051906610579
24,1,2,56,1459,0.6433993506623036
24,1,5,139,1459,0.7087544200084165
24,1,10,278,1459,0.7583082437214659
24,1,20,556,1459,0.8010042370363195
24,5,2,56,1459,0.4648088312281081
24,5,5,139,1459,0.5621807399839543
24,5,10,278,1459,0.652064615804104
24,5,20,556,1459,0.753129739131524
24,10,2,56,1459,0.26718762816064573
24,10,5,139,1459,0.34673617090216496
24,10,10,278,1459,0.4233836436664426
24,10,20,556,1459,0.5015738561053245
24,20,2,56,1459,0.10423904223062999
24,20,5,139,1459,0.13856028297724016
24,20,10,278,1459,0.16893580618748563
24,20,20,556,1459,0.19077088723300795
24,50,2,56,1459,0.03036087343542125
