lead_time_hr,threshold_mm,window_gridpts,window_km,n_samples,fss_avg
6,5,2,56,12,0.5182
6,5,5,139,12,0.6639
6,5,10,278,12,0.7892
6,5,20,556,12,0.8735
6,10,2,56,12,0.413
6,10,5,139,12,0.5701
6,10,10,278,12,0.7204
6,10,20,556,12,0.8294
6,20,2,56,12,0.2755
6,20,5,139,12,0.4105
6,20,10,278,12,0.5578
6,20,20,556,12,0.6823
6,50,2,56,12,0.1226
6,50,5,139,12,0.1949
6,50,10,278,12,0.2652
6,50,20,556,12,0.3358
12,5,2,56,12,0.4763
12,5,5,139,12,0.5899
12,5,10,278,12,0.6991
12,5,20,556,12,0.797
12,10,2,56,12,0.3539
12,10,5,139,12,0.4659
12,10,10,278,12,0.5881
12,10,20,556,12,0.7058
12,20,2,56,12,0.1822
12,20,5,139,12,0.2546
12,20,10,278,12,0.3507
12,20,20,556,12,0.4643
12,50,2,56,12,0.0585
12,50,5,139,12,0.0819
12,50,10,278,12,0.1236
12,50,20,556,12,0.2007
18,5,2,56,12,0.4634
18,5,5,139,12,0.5757
18,5,10,278,12,0.6928
18,5,20,556,12,0.8005
18,10,2,56,12,0.3256
18,10,5,139,12,0.4344
18,10,10,278,12,0.5615
18,10,20,556,12,0.6811
18,20,2,56,12,0.1739
18,20,5,139,12,0.2473
18,20,10,278,12,0.3326
18,20,20,556,12,0.4078
18,50,2,56,12,0.0587
18,50,5,139,12,0.083
18,50,10,278,12,0.1271
18,50,20,556,12,0.199
24,5,2,56,12,0.4834
24,5,5,139,12,0.59
24,5,10,278,12,0.6886
24,5,20,556,12,0.7815
24,10,2,56,12,0.3068
24,10,5,139,12,0.3981
24,10,10,278,12,0.4891
24,10,20,556,12,0.5728
24,20,2,56,12,0.1824
24,20,5,139,12,0.2517
24,20,10,278,12,0.3239
24,20,20,556,12,0.3794
24,50,2,56,12,0.0493
24,50,5,139,12,0.0743
24,50,10,278,12,0.1045
24,50,20,556,12,0.1567
30,5,2,56,12,0.4666
30,5,5,139,12,0.5668
30,5,10,278,12,0.669
30,5,20,556,12,0.7777
30,10,2,56,12,0.301
30,10,5,139,12,0.3983
30,10,10,278,12,0.497
30,10,20,556,12,0.5875
30,20,2,56,12,0.1453
30,20,5,139,12,0.1995
30,20,10,278,12,0.2559
30,20,20,556,12,0.3066
30,50,2,56,12,0.0509
30,50,5,139,12,0.0734
30,50,10,278,12,0.099
30,50,20,556,12,0.107
36,5,2,56,12,0.4537
36,5,5,139,12,0.5524
36,5,10,278,12,0.6527
36,5,20,556,12,0.7572
36,10,2,56,12,0.2969
36,10,5,139,12,0.3912
36,10,10,278,12,0.504
36,10,20,556,12,0.6138
36,20,2,56,12,0.1445
36,20,5,139,12,0.2047
36,20,10,278,12,0.2682
36,20,20,556,12,0.339
36,50,2,56,12,0.06
36,50,5,139,12,0.0828
36,50,10,278,12,0.1123
36,50,20,556,12,0.1377
42,5,2,56,12,0.4388
42,5,5,139,12,0.5386
42,5,10,278,12,0.6414
42,5,20,556,12,0.7498
42,10,2,56,12,0.287
42,10,5,139,12,0.3777
42,10,10,278,12,0.478
42,10,20,556,12,0.583
42,20,2,56,12,0.1517
42,20,5,139,12,0.2069
42,20,10,278,12,0.2753
42,20,20,556,12,0.3441
42,50,2,56,12,0.0531
42,50,5,139,12,0.0796
42,50,10,278,12,0.0961
42,50,20,556,12,0.1097
48,5,2,56,12,0.4578
48,5,5,139,12,0.5497
48,5,10,278,12,0.6342
48,5,20,556,12,0.7168
48,10,2,56,12,0.2844
48,10,5,139,12,0.3732
48,10,10,278,12,0.4629
48,10,20,556,12,0.5437
48,20,2,56,12,0.1272
48,20,5,139,12,0.1765
48,20,10,278,12,0.2299
48,20,20,556,12,0.2842
48,50,2,56,12,0.0597
48,50,5,139,12,0.089
48,50,10,278,12,0.1022
48,50,20,556,12,0.1131
