lead_time_hr,threshold_mm,window_gridpts,window_km,n_samples,fss_avg
6,5,2,56,488,0.4786
6,5,5,139,488,0.6258
6,5,10,278,488,0.7557
6,5,20,556,488,0.8596
6,10,2,56,488,0.3883
6,10,5,139,488,0.5398
6,10,10,278,488,0.6845
6,10,20,556,488,0.8101
6,20,2,56,488,0.281
6,20,5,139,488,0.4165
6,20,10,278,488,0.5576
6,20,20,556,488,0.692
6,50,2,56,488,0.1247
6,50,5,139,488,0.1961
6,50,10,278,488,0.2783
6,50,20,556,488,0.3603
12,5,2,56,488,0.4494
12,5,5,139,488,0.5655
12,5,10,278,488,0.6859
12,5,20,556,488,0.8012
12,10,2,56,488,0.339
12,10,5,139,488,0.4539
12,10,10,278,488,0.5829
12,10,20,556,488,0.7167
12,20,2,56,488,0.2172
12,20,5,139,488,0.3091
12,20,10,278,488,0.4245
12,20,20,556,488,0.5579
12,50,2,56,488,0.0953
12,50,5,139,488,0.1407
12,50,10,278,488,0.2001
12,50,20,556,488,0.2777
18,5,2,56,488,0.4409
18,5,5,139,488,0.5489
18,5,10,278,488,0.6633
18,5,20,556,488,0.78
18,10,2,56,488,0.3231
18,10,5,139,488,0.4271
18,10,10,278,488,0.5451
18,10,20,556,488,0.6736
18,20,2,56,488,0.2036
18,20,5,139,488,0.2854
18,20,10,278,488,0.3865
18,20,20,556,488,0.5024
18,50,2,56,488,0.0899
18,50,5,139,488,0.1297
18,50,10,278,488,0.1809
18,50,20,556,488,0.2373
24,5,2,56,488,0.4457
24,5,5,139,488,0.5546
24,5,10,278,488,0.6628
24,5,20,556,488,0.7699
24,10,2,56,488,0.3091
24,10,5,139,488,0.409
24,10,10,278,488,0.5152
24,10,20,556,488,0.6199
24,20,2,56,488,0.1888
24,20,5,139,488,0.2609
24,20,10,278,488,0.3389
24,20,20,556,488,0.4191
24,50,2,56,488,0.0895
24,50,5,139,488,0.1239
24,50,10,278,488,0.1618
24,50,20,556,488,0.2039
30,5,2,56,488,0.4358
30,5,5,139,488,0.5413
30,5,10,278,488,0.6451
30,5,20,556,488,0.7543
30,10,2,56,488,0.3059
30,10,5,139,488,0.4041
30,10,10,278,488,0.5054
30,10,20,556,488,0.6076
30,20,2,56,488,0.1847
30,20,5,139,488,0.2554
30,20,10,278,488,0.332
30,20,20,556,488,0.4082
30,50,2,56,488,0.0917
30,50,5,139,488,0.1283
30,50,10,278,488,0.1654
30,50,20,556,488,0.1999
36,5,2,56,488,0.4203
36,5,5,139,488,0.5211
36,5,10,278,488,0.6269
36,5,20,556,488,0.7418
36,10,2,56,488,0.2954
36,10,5,139,488,0.3886
36,10,10,278,488,0.4903
36,10,20,556,488,0.6024
36,20,2,56,488,0.1766
36,20,5,139,488,0.2424
36,20,10,278,488,0.3211
36,20,20,556,488,0.4124
36,50,2,56,488,0.0855
36,50,5,139,488,0.1153
36,50,10,278,488,0.151
36,50,20,556,488,0.1956
42,5,2,56,488,0.406
42,5,5,139,488,0.5046
42,5,10,278,488,0.612
42,5,20,556,488,0.7337
42,10,2,56,488,0.2828
42,10,5,139,488,0.3726
42,10,10,278,488,0.4755
42,10,20,556,488,0.5963
42,20,2,56,488,0.1748
42,20,5,139,488,0.2396
42,20,10,278,488,0.3175
42,20,20,556,488,0.412
42,50,2,56,488,0.0851
42,50,5,139,488,0.1156
42,50,10,278,488,0.1504
42,50,20,556,488,0.1924
48,5,2,56,488,0.4144
48,5,5,139,488,0.514
48,5,10,278,488,0.6156
48,5,20,556,488,0.7271
48,10,2,56,488,0.2724
48,10,5,139,488,0.3618
48,10,10,278,488,0.4591
48,10,20,556,488,0.5653
48,20,2,56,488,0.1578
48,20,5,139,488,0.2174
48,20,10,278,488,0.2836
48,20,20,556,488,0.3535
48,50,2,56,488,0.076
48,50,5,139,488,0.1025
48,50,10,278,488,0.1316
48,50,20,556,488,0.1646
