lead_time_hr,threshold_mm,window_gridpts,window_km,n_samples,fss_avg
6,5,2,56,488,0.4653
6,5,5,139,488,0.6025
6,5,10,278,488,0.7194
6,5,20,556,488,0.8119
6,10,2,56,488,0.3776
6,10,5,139,488,0.5216
6,10,10,278,488,0.655
6,10,20,556,488,0.7696
6,20,2,56,488,0.2676
6,20,5,139,488,0.3931
6,20,10,278,488,0.5187
6,20,20,556,488,0.6383
6,50,2,56,488,0.1033
6,50,5,139,488,0.1556
6,50,10,278,488,0.2091
6,50,20,556,488,0.2645
12,5,2,56,487,0.4237
12,5,5,139,487,0.5342
12,5,10,278,487,0.6445
12,5,20,556,487,0.7488
12,10,2,56,487,0.3133
12,10,5,139,487,0.4237
12,10,10,278,487,0.5509
12,10,20,556,487,0.692
12,20,2,56,487,0.1975
12,20,5,139,487,0.2847
12,20,10,278,487,0.3971
12,20,20,556,487,0.5395
12,50,2,56,487,0.0724
12,50,5,139,487,0.1074
12,50,10,278,487,0.157
12,50,20,556,487,0.2303
18,5,2,56,486,0.4141
18,5,5,139,486,0.5155
18,5,10,278,486,0.624
18,5,20,556,486,0.7392
18,10,2,56,486,0.2966
18,10,5,139,486,0.3932
18,10,10,278,486,0.5091
18,10,20,556,486,0.6485
18,20,2,56,486,0.1764
18,20,5,139,486,0.2486
18,20,10,278,486,0.3447
18,20,20,556,486,0.4725
18,50,2,56,486,0.0621
18,50,5,139,486,0.0886
18,50,10,278,486,0.1302
18,50,20,556,486,0.1928
24,5,2,56,485,0.4287
24,5,5,139,485,0.5305
24,5,10,278,485,0.6314
24,5,20,556,485,0.7378
24,10,2,56,485,0.2903
24,10,5,139,485,0.3846
24,10,10,278,485,0.4884
24,10,20,556,485,0.609
24,20,2,56,485,0.1607
24,20,5,139,485,0.2232
24,20,10,278,485,0.298
24,20,20,556,485,0.3941
24,50,2,56,485,0.0667
24,50,5,139,485,0.0934
24,50,10,278,485,0.1284
24,50,20,556,485,0.174
30,5,2,56,484,0.4125
30,5,5,139,484,0.5102
30,5,10,278,484,0.609
30,5,20,556,484,0.7198
30,10,2,56,484,0.2826
30,10,5,139,484,0.3745
30,10,10,278,484,0.4755
30,10,20,556,484,0.5972
30,20,2,56,484,0.1637
30,20,5,139,484,0.2283
30,20,10,278,484,0.3044
30,20,20,556,484,0.403
30,50,2,56,484,0.0596
30,50,5,139,484,0.086
30,50,10,278,484,0.1241
30,50,20,556,484,0.1746
36,5,2,56,483,0.3914
36,5,5,139,483,0.4857
36,5,10,278,483,0.5872
36,5,20,556,483,0.704
36,10,2,56,483,0.262
36,10,5,139,483,0.3488
36,10,10,278,483,0.4521
36,10,20,556,483,0.5843
36,20,2,56,483,0.1456
36,20,5,139,483,0.2042
36,20,10,278,483,0.2814
36,20,20,556,483,0.3918
36,50,2,56,483,0.0592
36,50,5,139,483,0.0823
36,50,10,278,483,0.114
36,50,20,556,483,0.1608
42,5,2,56,482,0.3741
42,5,5,139,482,0.4666
42,5,10,278,482,0.5684
42,5,20,556,482,0.6879
42,10,2,56,482,0.2438
42,10,5,139,482,0.3268
42,10,10,278,482,0.4298
42,10,20,556,482,0.564
42,20,2,56,482,0.138
42,20,5,139,482,0.1915
42,20,10,278,482,0.2623
42,20,20,556,482,0.3679
42,50,2,56,482,0.0555
42,50,5,139,482,0.077
42,50,10,278,482,0.1072
42,50,20,556,482,0.1546
48,5,2,56,481,0.3937
48,5,5,139,481,0.4863
48,5,10,278,481,0.5812
48,5,20,556,481,0.6908
48,10,2,56,481,0.2518
48,10,5,139,481,0.3348
48,10,10,278,481,0.4292
48,10,20,556,481,0.5478
48,20,2,56,481,0.1346
48,20,5,139,481,0.1871
48,20,10,278,481,0.2514
48,20,20,556,481,0.3382
48,50,2,56,481,0.0519
48,50,5,139,481,0.0766
48,50,10,278,481,0.1105
48,50,20,556,481,0.1524
