lead_time_hr,threshold_mm,window_gridpts,window_km,n_samples,fss_avg
6,5,2,56,485,0.4922
6,5,5,139,485,0.63
6,5,10,278,485,0.7498
6,5,20,556,485,0.8395
6,10,2,56,485,0.4008
6,10,5,139,485,0.5546
6,10,10,278,485,0.7019
6,10,20,556,485,0.8208
6,20,2,56,485,0.2793
6,20,5,139,485,0.4186
6,20,10,278,485,0.5642
6,20,20,556,485,0.6918
6,50,2,56,485,0.0997
6,50,5,139,485,0.1616
6,50,10,278,485,0.2341
6,50,20,556,485,0.2984
12,5,2,56,485,0.4583
12,5,5,139,485,0.5694
12,5,10,278,485,0.6875
12,5,20,556,485,0.8013
12,10,2,56,485,0.3476
12,10,5,139,485,0.4618
12,10,10,278,485,0.5968
12,10,20,556,485,0.7388
12,20,2,56,485,0.225
12,20,5,139,485,0.3193
12,20,10,278,485,0.4406
12,20,20,556,485,0.5847
12,50,2,56,485,0.0873
12,50,5,139,485,0.1306
12,50,10,278,485,0.1933
12,50,20,556,485,0.2786
18,5,2,56,485,0.4526
18,5,5,139,485,0.5552
18,5,10,278,485,0.6674
18,5,20,556,485,0.7837
18,10,2,56,485,0.3353
18,10,5,139,485,0.4384
18,10,10,278,485,0.5592
18,10,20,556,485,0.6914
18,20,2,56,485,0.2119
18,20,5,139,485,0.2942
18,20,10,278,485,0.3985
18,20,20,556,485,0.5238
18,50,2,56,485,0.0885
18,50,5,139,485,0.126
18,50,10,278,485,0.1779
18,50,20,556,485,0.2517
24,5,2,56,485,0.4655
24,5,5,139,485,0.5676
24,5,10,278,485,0.6703
24,5,20,556,485,0.7744
24,10,2,56,485,0.3232
24,10,5,139,485,0.4224
24,10,10,278,485,0.5287
24,10,20,556,485,0.6388
24,20,2,56,485,0.1842
24,20,5,139,485,0.2594
24,20,10,278,485,0.3468
24,20,20,556,485,0.4462
24,50,2,56,485,0.0645
24,50,5,139,485,0.0986
24,50,10,278,485,0.1474
24,50,20,556,485,0.2086
30,5,2,56,485,0.4539
30,5,5,139,485,0.5532
30,5,10,278,485,0.6533
30,5,20,556,485,0.7575
30,10,2,56,485,0.3212
30,10,5,139,485,0.4177
30,10,10,278,485,0.5199
30,10,20,556,485,0.6247
30,20,2,56,485,0.197
30,20,5,139,485,0.274
30,20,10,278,485,0.3566
30,20,20,556,485,0.4452
30,50,2,56,485,0.078
30,50,5,139,485,0.1174
30,50,10,278,485,0.1642
30,50,20,556,485,0.2154
36,5,2,56,485,0.4439
36,5,5,139,485,0.5414
36,5,10,278,485,0.6451
36,5,20,556,485,0.7564
36,10,2,56,485,0.3185
36,10,5,139,485,0.4123
36,10,10,278,485,0.5175
36,10,20,556,485,0.6331
36,20,2,56,485,0.2011
36,20,5,139,485,0.2762
36,20,10,278,485,0.3651
36,20,20,556,485,0.4713
36,50,2,56,485,0.08
36,50,5,139,485,0.1152
36,50,10,278,485,0.1646
36,50,20,556,485,0.231
42,5,2,56,485,0.4331
42,5,5,139,485,0.5304
42,5,10,278,485,0.6364
42,5,20,556,485,0.7517
42,10,2,56,485,0.3112
42,10,5,139,485,0.4037
42,10,10,278,485,0.5108
42,10,20,556,485,0.634
42,20,2,56,485,0.1982
42,20,5,139,485,0.2712
42,20,10,278,485,0.3628
42,20,20,556,485,0.4818
42,50,2,56,485,0.0737
42,50,5,139,485,0.1073
42,50,10,278,485,0.1575
42,50,20,556,485,0.2263
48,5,2,56,485,0.4423
48,5,5,139,485,0.5399
48,5,10,278,485,0.6393
48,5,20,556,485,0.7447
48,10,2,56,485,0.2947
48,10,5,139,485,0.3845
48,10,10,278,485,0.4808
48,10,20,556,485,0.5888
48,20,2,56,485,0.1592
48,20,5,139,485,0.2239
48,20,10,278,485,0.2974
48,20,20,556,485,0.3871
48,50,2,56,485,0.0598
48,50,5,139,485,0.0898
48,50,10,278,485,0.1296
48,50,20,556,485,0.1824
