version,lead_time_hr,threshold_mm,window_gridpts,window_km,n_samples,fss_avg
pangu_mlp,6,5,2,56,1461,0.4787
pangu_mlp,6,5,5,139,1461,0.6194
pangu_mlp,6,5,10,278,1461,0.7416
pangu_mlp,6,5,20,556,1461,0.837
pangu_mlp,6,10,2,56,1461,0.3889
pangu_mlp,6,10,5,139,1461,0.5386
pangu_mlp,6,10,10,278,1461,0.6804
pangu_mlp,6,10,20,556,1461,0.8001
pangu_mlp,6,20,2,56,1461,0.2759
pangu_mlp,6,20,5,139,1461,0.4094
pangu_mlp,6,20,10,278,1461,0.5468
pangu_mlp,6,20,20,556,1461,0.674
pangu_mlp,6,50,2,56,1461,0.1093
pangu_mlp,6,50,5,139,1461,0.1711
pangu_mlp,6,50,10,278,1461,0.2405
pangu_mlp,6,50,20,556,1461,0.3077
pangu_mlp,12,5,2,56,1460,0.4438
pangu_mlp,12,5,5,139,1460,0.5563
pangu_mlp,12,5,10,278,1460,0.6726
pangu_mlp,12,5,20,556,1460,0.7837
pangu_mlp,12,10,2,56,1460,0.3333
pangu_mlp,12,10,5,139,1460,0.4464
pangu_mlp,12,10,10,278,1460,0.5768
pangu_mlp,12,10,20,556,1460,0.7158
pangu_mlp,12,20,2,56,1460,0.2132
pangu_mlp,12,20,5,139,1460,0.3043
pangu_mlp,12,20,10,278,1460,0.4207
pangu_mlp,12,20,20,556,1460,0.5606
pangu_mlp,12,50,2,56,1460,0.085
pangu_mlp,12,50,5,139,1460,0.1263
pangu_mlp,12,50,10,278,1460,0.1834
pangu_mlp,12,50,20,556,1460,0.2622
pangu_mlp,18,5,2,56,1459,0.4359
pangu_mlp,18,5,5,139,1459,0.5399
pangu_mlp,18,5,10,278,1459,0.6516
pangu_mlp,18,5,20,556,1459,0.7677
pangu_mlp,18,10,2,56,1459,0.3183
pangu_mlp,18,10,5,139,1459,0.4195
pangu_mlp,18,10,10,278,1459,0.5378
pangu_mlp,18,10,20,556,1459,0.6711
pangu_mlp,18,20,2,56,1459,0.1973
pangu_mlp,18,20,5,139,1459,0.2761
pangu_mlp,18,20,10,278,1459,0.3766
pangu_mlp,18,20,20,556,1459,0.4995
pangu_mlp,18,50,2,56,1459,0.0802
pangu_mlp,18,50,5,139,1459,0.1148
pangu_mlp,18,50,10,278,1459,0.163
pangu_mlp,18,50,20,556,1459,0.2273
pangu_mlp,24,5,2,56,1458,0.4466
pangu_mlp,24,5,5,139,1458,0.5509
pangu_mlp,24,5,10,278,1458,0.6549
pangu_mlp,24,5,20,556,1458,0.7607
pangu_mlp,24,10,2,56,1458,0.3075
pangu_mlp,24,10,5,139,1458,0.4054
pangu_mlp,24,10,10,278,1458,0.5108
pangu_mlp,24,10,20,556,1458,0.6226
pangu_mlp,24,20,2,56,1458,0.1779
pangu_mlp,24,20,5,139,1458,0.2478
pangu_mlp,24,20,10,278,1458,0.3279
pangu_mlp,24,20,20,556,1458,0.4198
pangu_mlp,24,50,2,56,1458,0.0736
pangu_mlp,24,50,5,139,1458,0.1054
pangu_mlp,24,50,10,278,1458,0.1459
pangu_mlp,24,50,20,556,1458,0.1955
pangu_mlp,30,5,2,56,1457,0.4341
pangu_mlp,30,5,5,139,1457,0.5349
pangu_mlp,30,5,10,278,1457,0.6358
pangu_mlp,30,5,20,556,1457,0.7439
pangu_mlp,30,10,2,56,1457,0.3032
pangu_mlp,30,10,5,139,1457,0.3988
pangu_mlp,30,10,10,278,1457,0.5003
pangu_mlp,30,10,20,556,1457,0.6098
pangu_mlp,30,20,2,56,1457,0.1818
pangu_mlp,30,20,5,139,1457,0.2526
pangu_mlp,30,20,10,278,1457,0.331
pangu_mlp,30,20,20,556,1457,0.4188
pangu_mlp,30,50,2,56,1457,0.0765
pangu_mlp,30,50,5,139,1457,0.1106
pangu_mlp,30,50,10,278,1457,0.1513
pangu_mlp,30,50,20,556,1457,0.1967
pangu_mlp,36,5,2,56,1456,0.4186
pangu_mlp,36,5,5,139,1456,0.5161
pangu_mlp,36,5,10,278,1456,0.6198
pangu_mlp,36,5,20,556,1456,0.7341
pangu_mlp,36,10,2,56,1456,0.292
pangu_mlp,36,10,5,139,1456,0.3833
pangu_mlp,36,10,10,278,1456,0.4867
pangu_mlp,36,10,20,556,1456,0.6066
pangu_mlp,36,20,2,56,1456,0.1745
pangu_mlp,36,20,5,139,1456,0.241
pangu_mlp,36,20,10,278,1456,0.3226
pangu_mlp,36,20,20,556,1456,0.4252
pangu_mlp,36,50,2,56,1456,0.075
pangu_mlp,36,50,5,139,1456,0.1043
pangu_mlp,36,50,10,278,1456,0.1432
pangu_mlp,36,50,20,556,1456,0.1958
pangu_mlp,42,5,2,56,1455,0.4044
pangu_mlp,42,5,5,139,1455,0.5006
pangu_mlp,42,5,10,278,1455,0.6057
pangu_mlp,42,5,20,556,1455,0.7245
pangu_mlp,42,10,2,56,1455,0.2793
pangu_mlp,42,10,5,139,1455,0.3678
pangu_mlp,42,10,10,278,1455,0.4721
pangu_mlp,42,10,20,556,1455,0.5982
pangu_mlp,42,20,2,56,1455,0.1704
pangu_mlp,42,20,5,139,1455,0.2342
pangu_mlp,42,20,10,278,1455,0.3143
pangu_mlp,42,20,20,556,1455,0.4207
pangu_mlp,42,50,2,56,1455,0.0715
pangu_mlp,42,50,5,139,1455,0.1
pangu_mlp,42,50,10,278,1455,0.1385
pangu_mlp,42,50,20,556,1455,0.1912
pangu_mlp,48,5,2,56,1454,0.4169
pangu_mlp,48,5,5,139,1454,0.5135
pangu_mlp,48,5,10,278,1454,0.6121
pangu_mlp,48,5,20,556,1454,0.721
pangu_mlp,48,10,2,56,1454,0.273
pangu_mlp,48,10,5,139,1454,0.3604
pangu_mlp,48,10,10,278,1454,0.4564
pangu_mlp,48,10,20,556,1454,0.5673
pangu_mlp,48,20,2,56,1454,0.1506
pangu_mlp,48,20,5,139,1454,0.2095
pangu_mlp,48,20,10,278,1454,0.2776
pangu_mlp,48,20,20,556,1454,0.3596
